key	uniform	x_offset	y_offset	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	show_full_intro_option	difficulty	startpos_map	agent_subtype_record	faction
#frontend_faction_leaders_tables;1;db/frontend_faction_leaders_tables/rhox_fc_norsca																
mixer_ime_nor_skeggi	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_adella.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_skeggi_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_adella	wh2_main_nor_skeggi
mixer_ime_nor_aesling	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_hakka.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_aesling_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_hakka	wh_main_nor_aesling
mixer_ime_nor_baersonling	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_einar.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_baersonling_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_einar	wh_main_nor_baersonling
mixer_ime_nor_bjornling	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_ulfric.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_bjornling_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_ulfric	wh_main_nor_bjornling
mixer_ime_nor_dolgan	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_sayl.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_dolgan_loading.png.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_sayl	wh3_dlc20_nor_dolgan
mixer_ime_nor_kul	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_akkorak.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_kul_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_akkorak	wh3_dlc20_nor_kul
mixer_ime_nor_sarl	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_birna.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_sarl_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_birna	wh_main_nor_sarl
mixer_ime_nor_vanaheimlings	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_drenok.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_icefang_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_drenok	wh_dlc08_nor_vanaheimlings
mixer_ime_nor_varg	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/medusa_surtha_ek_0.png		Eventpics/nor/diplomacy	ui/loading_ui/load_images/scm_norsca_varg_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_surtha_ek	wh_main_nor_varg
mixer_ime_nor_graeling	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_harald.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_graeling_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_harald	wh_main_nor_graeling
mixer_nor_fjordlings	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui\flags\mixer_nor_fjordlings\mon_256.png		todbringer_defeated	ui/loading_ui/load_images/campaign_norsca1.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_dummy	mixer_nor_fjordlings
mixer_ime_nor_yusak	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui/portraits/faction_leaders/hkrul_sargath.png		todbringer_defeated	ui/loading_ui/load_images/scm_norsca_yusak_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Dwarf_Thane1	false		default	hkrul_sarg	wh3_dlc20_nor_yusak
mixer_ime_nor_naglfarlings	composite_scene\lord_selection\kislev\katarin.csc	0.0000	0.0000	ui\portraits\faction_leaders\scm_norsca_huern.png		chaos_stirs	ui/loading_ui/load_images/scm_norsca_wolf_loading.png		-1.0000	-1.0000	wh_main_vo_actor_Chaos_MarauderChieftain	false		default	scm_norsca_huern	wh_dlc08_nor_naglfarlings
