attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_harald	
chaos_territory	hkrul_harald
chaos_wastes	hkrul_harald
mountain	hkrul_harald
non_vampire_territory	hkrul_harald
nurgle_plague	hkrul_harald
snow	hkrul_harald
chaos_territory	rhox_graeling_werekin_of_fijgard
mountain	rhox_graeling_werekin_of_fijgard
non_vampire_territory	rhox_graeling_werekin_of_fijgard
nurgle_plague	rhox_graeling_werekin_of_fijgard
snow	rhox_graeling_werekin_of_fijgard
