attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_late_frost	
non_vampire_territory	hkrul_mortensen
mountain	hkrul_mortensen
nurgle_plague	hkrul_mortensen
snow	hkrul_mortensen
chaos_territory	hkrul_mortensen
non_vampire_territory	hkrul_mortensen_horse
mountain	hkrul_mortensen_horse
nurgle_plague	hkrul_mortensen_horse
snow	hkrul_mortensen_horse
chaos_territory	hkrul_mortensen_horse
non_vampire_territory	hkrul_mortensen_chariot
mountain	hkrul_mortensen_chariot
nurgle_plague	hkrul_mortensen_chariot
snow	hkrul_mortensen_chariot
chaos_territory	hkrul_mortensen_chariot
non_vampire_territory	hkrul_geimdall
mountain	hkrul_geimdall
nurgle_plague	hkrul_geimdall
snow	hkrul_geimdall
chaos_territory	hkrul_geimdall
chaos_territory	hkrul_yngve
chaos_wastes	hkrul_yngve
mountain	hkrul_yngve
non_vampire_territory	hkrul_yngve
nurgle_plague	hkrul_yngve
snow	hkrul_yngve
chaos_territory	hkrul_yngve_horse
chaos_wastes	hkrul_yngve_horse
mountain	hkrul_yngve_horse
non_vampire_territory	hkrul_yngve_horse
nurgle_plague	hkrul_yngve_horse
snow	hkrul_yngve_horse
chaos_territory	hkrul_yngve_chariot
chaos_wastes	hkrul_yngve_chariot
mountain	hkrul_yngve_chariot
non_vampire_territory	hkrul_yngve_chariot
nurgle_plague	hkrul_yngve_chariot
snow	hkrul_yngve_chariot
chaos_territory	hkrul_yngve_manticore
chaos_wastes	hkrul_yngve_manticore
mountain	hkrul_yngve_manticore
non_vampire_territory	hkrul_yngve_manticore
nurgle_plague	hkrul_yngve_manticore
snow	hkrul_yngve_manticore
