attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_nor_surp	
non_vampire_territory	hkrul_olg
mountain	hkrul_olg
nurgle_plague	hkrul_olg
snow	hkrul_olg
chaos_territory	hkrul_olg
non_vampire_territory	hkrul_olg_chariot
mountain	hkrul_olg_chariot
nurgle_plague	hkrul_olg_chariot
snow	hkrul_olg_chariot
chaos_territory	hkrul_olg_chariot
non_vampire_territory	hkrul_tuula
mountain	hkrul_tuula
nurgle_plague	hkrul_tuula
snow	hkrul_tuula
chaos_territory	hkrul_tuula
non_vampire_territory	hkrul_haftagg
mountain	hkrul_haftagg
nurgle_plague	hkrul_haftagg
snow	hkrul_haftagg
chaos_territory	hkrul_haftagg
non_vampire_territory	hkrul_olaf_chariot
mountain	hkrul_olaf_chariot
nurgle_plague	hkrul_olaf_chariot
snow	hkrul_olaf_chariot
chaos_territory	hkrul_olaf_chariot
non_vampire_territory	hkrul_olaf
mountain	hkrul_olaf
nurgle_plague	hkrul_olaf
snow	hkrul_olaf
chaos_territory	hkrul_olaf
chaos_territory	hkrul_tuula_chariot
chaos_wastes	hkrul_tuula_chariot
mountain	hkrul_tuula_chariot
non_vampire_territory	hkrul_tuula_chariot
nurgle_plague	hkrul_tuula_chariot
snow	hkrul_tuula_chariot
chaos_territory	hkrul_olaf_mammoth
chaos_wastes	hkrul_olaf_mammoth
mountain	hkrul_olaf_mammoth
non_vampire_territory	hkrul_olaf_mammoth
nurgle_plague	hkrul_olaf_mammoth
snow	hkrul_olaf_mammoth
non_vampire_territory	hkrul_orgrim
mountain	hkrul_orgrim
nurgle_plague	hkrul_orgrim
snow	hkrul_orgrim
chaos_territory	hkrul_orgrim
non_vampire_territory	hkrul_berus
mountain	hkrul_berus
nurgle_plague	hkrul_berus
snow	hkrul_berus
chaos_territory	hkrul_berus
non_vampire_territory	hkrul_usta
mountain	hkrul_usta
nurgle_plague	hkrul_usta
snow	hkrul_usta
chaos_territory	hkrul_usta
non_vampire_territory	hkrul_kammler
mountain	hkrul_kammler
nurgle_plague	hkrul_kammler
snow	hkrul_kammler
chaos_territory	hkrul_kammler
non_vampire_territory	hkrul_eyri
mountain	hkrul_eyri
nurgle_plague	hkrul_eyri
snow	hkrul_eyri
chaos_territory	hkrul_eyri
