attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_hakka	
chaos_territory	hkrul_hakka
chaos_wastes	hkrul_hakka
mountain	hkrul_hakka
non_vampire_territory	hkrul_hakka
nurgle_plague	hkrul_hakka
snow	hkrul_hakka
chaos_territory	hkrul_hakka_chariot
chaos_wastes	hkrul_hakka_chariot
mountain	hkrul_hakka_chariot
non_vampire_territory	hkrul_hakka_chariot
nurgle_plague	hkrul_hakka_chariot
snow	hkrul_hakka_chariot
chaos_territory	hkrul_hakka_juggernaut
chaos_wastes	hkrul_hakka_juggernaut
mountain	hkrul_hakka_juggernaut
non_vampire_territory	hkrul_hakka_juggernaut
nurgle_plague	hkrul_hakka_juggernaut
snow	hkrul_hakka_juggernaut
