attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_lokjar	
non_vampire_territory	hkrul_lokjar
mountain	hkrul_lokjar
nurgle_plague	hkrul_lokjar
snow	hkrul_lokjar
chaos_territory	hkrul_lokjar
chaos_territory	hkrul_lokjar_horse
mountain	hkrul_lokjar_horse
non_vampire_territory	hkrul_lokjar_horse
nurgle_plague	hkrul_lokjar_horse
snow	hkrul_lokjar_horse
chaos_territory	hkrul_lokjar_chariot
mountain	hkrul_lokjar_chariot
non_vampire_territory	hkrul_lokjar_chariot
nurgle_plague	hkrul_lokjar_chariot
snow	hkrul_lokjar_chariot
