attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/rhox_beorg	
non_vampire_territory	hkrul_bearmen
chaos_territory	hkrul_bearmen
nurgle_plague	hkrul_bearmen
mountain	hkrul_bearmen
snow	hkrul_bearmen
non_vampire_territory	hkrul_oerl
mountain	hkrul_oerl
nurgle_plague	hkrul_oerl
snow	hkrul_oerl
chaos_territory	hkrul_oerl
mountain	hkrul_beorg_brown_feral
snow	hkrul_beorg_brown_feral
chaos_territory	hkrul_beorg_brown_feral
mountain	hkrul_beorg_ice_feral
snow	hkrul_beorg_ice_feral
chaos_territory	hkrul_beorg_ice_feral
mountain	hkrul_beorg_bear_sem
snow	hkrul_beorg_bear_sem
chaos_territory	hkrul_beorg_bear_sem
mountain	hkrul_beorg_brown_feral_marked
snow	hkrul_beorg_brown_feral_marked
chaos_territory	hkrul_beorg_brown_feral_marked
chaos_territory	hkrul_beorg
mountain	hkrul_beorg
non_vampire_territory	hkrul_beorg
nurgle_plague	hkrul_beorg
snow	hkrul_beorg
chaos_territory	hkrul_beorg_bear
mountain	hkrul_beorg_bear
non_vampire_territory	hkrul_beorg_bear
nurgle_plague	hkrul_beorg_bear
snow	hkrul_beorg_bear
