attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_ulfric	
chaos_territory	hkrul_ulfric
chaos_wastes	hkrul_ulfric
mountain	hkrul_ulfric
non_vampire_territory	hkrul_ulfric
nurgle_plague	hkrul_ulfric
snow	hkrul_ulfric
chaos_territory	hkrul_ulfric_horse
chaos_wastes	hkrul_ulfric_horse
mountain	hkrul_ulfric_horse
non_vampire_territory	hkrul_ulfric_horse
nurgle_plague	hkrul_ulfric_horse
snow	hkrul_ulfric_horse
chaos_territory	hkrul_ulfric_chariot
chaos_wastes	hkrul_ulfric_chariot
mountain	hkrul_ulfric_chariot
non_vampire_territory	hkrul_ulfric_chariot
nurgle_plague	hkrul_ulfric_chariot
snow	hkrul_ulfric_chariot
chaos_territory	hkrul_ulfric_mammoth
chaos_wastes	hkrul_ulfric_mammoth
mountain	hkrul_ulfric_mammoth
non_vampire_territory	hkrul_ulfric_mammoth
nurgle_plague	hkrul_ulfric_mammoth
snow	hkrul_ulfric_mammoth
chaos_territory	hkrul_bjornling_inf_marauder_spearman_0
mountain	hkrul_bjornling_inf_marauder_spearman_0
non_vampire_territory	hkrul_bjornling_inf_marauder_spearman_0
nurgle_plague	hkrul_bjornling_inf_marauder_spearman_0
snow	hkrul_bjornling_inf_marauder_spearman_0
chaos_territory	hkrul_bjornling_inf_marauder_champions_0
mountain	hkrul_bjornling_inf_marauder_champions_0
non_vampire_territory	hkrul_bjornling_inf_marauder_champions_0
nurgle_plague	hkrul_bjornling_inf_marauder_champions_0
snow	hkrul_bjornling_inf_marauder_champions_0
chaos_territory	hkrul_bjornling_inf_marauder_champions_1
mountain	hkrul_bjornling_inf_marauder_champions_1
non_vampire_territory	hkrul_bjornling_inf_marauder_champions_1
nurgle_plague	hkrul_bjornling_inf_marauder_champions_1
snow	hkrul_bjornling_inf_marauder_champions_1
chaos_territory	hkrul_bjornling_inf_marauder_hunters_1
mountain	hkrul_bjornling_inf_marauder_hunters_1
non_vampire_territory	hkrul_bjornling_inf_marauder_hunters_1
nurgle_plague	hkrul_bjornling_inf_marauder_hunters_1
snow	hkrul_bjornling_inf_marauder_hunters_1
chaos_territory	hkrul_bjornling_inf_chaos_marauders_0
mountain	hkrul_bjornling_inf_chaos_marauders_0
non_vampire_territory	hkrul_bjornling_inf_chaos_marauders_0
nurgle_plague	hkrul_bjornling_inf_chaos_marauders_0
snow	hkrul_bjornling_inf_chaos_marauders_0
chaos_territory	hkrul_bjornling_inf_chaos_marauders_1
mountain	hkrul_bjornling_inf_chaos_marauders_1
non_vampire_territory	hkrul_bjornling_inf_chaos_marauders_1
nurgle_plague	hkrul_bjornling_inf_chaos_marauders_1
snow	hkrul_bjornling_inf_chaos_marauders_1
chaos_territory	hkrul_bjornling_inf_marauder_hunters_0
mountain	hkrul_bjornling_inf_marauder_hunters_0
non_vampire_territory	hkrul_bjornling_inf_marauder_hunters_0
nurgle_plague	hkrul_bjornling_inf_marauder_hunters_0
snow	hkrul_bjornling_inf_marauder_hunters_0
chaos_territory	rhox_bjornling_huscarl
mountain	rhox_bjornling_huscarl
non_vampire_territory	rhox_bjornling_huscarl
nurgle_plague	rhox_bjornling_huscarl
snow	rhox_bjornling_huscarl
chaos_territory	rhox_bjornling_huscarl_ror
mountain	rhox_bjornling_huscarl_ror
non_vampire_territory	rhox_bjornling_huscarl_ror
nurgle_plague	rhox_bjornling_huscarl_ror
snow	rhox_bjornling_huscarl_ror
non_vampire_territory	rhox_bjornling_maneater
non_vampire_territory	rhox_bjornling_maneater_ironfist
non_vampire_territory	rhox_bjornling_maneater_great_weapon
chaos_territory	rhox_bjornling_maneater
mountain	rhox_bjornling_maneater
nurgle_plague	rhox_bjornling_maneater
snow	rhox_bjornling_maneater
chaos_territory	rhox_bjornling_maneater_ironfist
mountain	rhox_bjornling_maneater_ironfist
nurgle_plague	rhox_bjornling_maneater_ironfist
snow	rhox_bjornling_maneater_ironfist
chaos_territory	rhox_bjornling_maneater_great_weapon
mountain	rhox_bjornling_maneater_great_weapon
nurgle_plague	rhox_bjornling_maneater_great_weapon
snow	rhox_bjornling_maneater_great_weapon
non_vampire_territory	hkrul_norsca_ymir
chaos_territory	hkrul_norsca_ymir
mountain	hkrul_norsca_ymir
nurgle_plague	hkrul_norsca_ymir
snow	hkrul_norsca_ymir
non_vampire_territory	hkrul_norsca_ymir_ror
chaos_territory	hkrul_norsca_ymir_ror
mountain	hkrul_norsca_ymir_ror
nurgle_plague	hkrul_norsca_ymir_ror
snow	hkrul_norsca_ymir_ror
non_vampire_territory	hkrul_skraevold
chaos_territory	hkrul_skraevold
mountain	hkrul_skraevold
nurgle_plague	hkrul_skraevold
snow	hkrul_skraevold
non_vampire_territory	hkrul_godi
chaos_territory	hkrul_godi
mountain	hkrul_godi
nurgle_plague	hkrul_godi
snow	hkrul_godi
non_vampire_territory	hkrul_shark_2
chaos_territory	hkrul_shark_2
mountain	hkrul_shark_2
nurgle_plague	hkrul_shark_2
snow	hkrul_shark_2
non_vampire_territory	hkrul_shark_3
chaos_territory	hkrul_shark_3
mountain	hkrul_shark_3
nurgle_plague	hkrul_shark_3
snow	hkrul_shark_3
chaos_territory	hkrul_shark_1
mountain	hkrul_shark_1
nurgle_plague	hkrul_shark_1
snow	hkrul_shark_1
