attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/hkrul_late_summer	
non_vampire_territory	hkrul_grydal
mountain	hkrul_grydal
nurgle_plague	hkrul_grydal
snow	hkrul_grydal
chaos_territory	hkrul_grydal
non_vampire_territory	hkrul_goftur
mountain	hkrul_goftur
nurgle_plague	hkrul_goftur
snow	hkrul_goftur
chaos_territory	hkrul_goftur
non_vampire_territory	hkrul_shark_1
deep_sea	hkrul_shark_1
non_vampire_territory	hkrul_mermedus
mountain	hkrul_mermedus
nurgle_plague	hkrul_mermedus
snow	hkrul_mermedus
chaos_territory	hkrul_mermedus
non_vampire_territory	hkrul_urf
mountain	hkrul_urf
nurgle_plague	hkrul_urf
snow	hkrul_urf
chaos_territory	hkrul_urf
non_vampire_territory	hkrul_grydal_warshrine
mountain	hkrul_grydal_warshrine
nurgle_plague	hkrul_grydal_warshrine
snow	hkrul_grydal_warshrine
chaos_territory	hkrul_grydal_warshrine
