type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/hkrul_scm_norsca_anc	
hkrul_norsca_ship_1	ui/campaign ui/ancillaries/hkrul_norsca_ship_1.png
hkrul_norsca_ship_2	ui/campaign ui/ancillaries/hkrul_norsca_ship_2.png
hkrul_norsca_ship_3	ui/campaign ui/ancillaries/hkrul_norsca_ship_3.png
hkrul_norsca_ship_4	ui/campaign ui/ancillaries/hkrul_norsca_ship_4.png
hkrul_norsca_follower_1	ui/campaign ui/ancillaries/hkrul_norsca_follower_1.png
hkrul_norsca_follower_2	ui/campaign ui/ancillaries/hkrul_norsca_follower_2.png
hkrul_yngve_banner	ui/campaign ui/ancillaries/hkrul_yngve_banner.png
hkrul_geimdall_ship	ui/campaign ui/ancillaries/hkrul_geimdal_ship.png
hkrul_norsca_ship_7	ui/campaign ui/ancillaries/hkrul_geimdall_ship.png
hkrul_norsca_ship_8	ui/campaign ui/ancillaries/hkrul_norsca_ship_8.png
hkrul_norsca_ship_9	ui/campaign ui/ancillaries/hkrul_goftur_ship.png
hkrul_norsca_ship_10	ui/campaign ui/ancillaries/hkrul_eyri_ship.png
hkrul_norsca_ship_5	ui/campaign ui/ancillaries/hkrul_norsca_kongelyg.png
hkrul_norsca_ship_6	ui/campaign ui/ancillaries/hkrul_oda_ship.png
hkrul_norsca_ship_11	ui/campaign ui/ancillaries/hkrul_norsca_ship_hafskael_2.png
hkrul_norsca_ship_12	ui/campaign ui/ancillaries/hkrul_norsca_ship_16.png
hkrul_norsca_ship_olaf	ui/campaign ui/ancillaries/hkrul_norsca_ship_olaf.png
hkrul_norsca_ship_birna	ui/campaign ui/ancillaries/hkrul_norsca_ship_birna.png
hkrul_norsca_ship_hafskael	ui/campaign ui/ancillaries/hkrul_ulfric_ship.png
hkrul_norsca_ship_hafskael_2	ui/campaign ui/ancillaries/hkrul_norsca_ship_15.png
