type	ui_icon
#ancillary_types_tables;0;db/ancillary_types_tables/scm_norsca_fish	
hkrul_norsca_fish_01	ui/campaign ui/ancillaries/hkrul_norsca_fish_1.png
hkrul_norsca_fish_02	ui/campaign ui/ancillaries/hkrul_norsca_fish_2.png
hkrul_norsca_fish_03	ui/campaign ui/ancillaries/hkrul_norsca_fish_3.png
hkrul_norsca_fish_04	ui/campaign ui/ancillaries/hkrul_norsca_fish_4.png
hkrul_norsca_fish_05	ui/campaign ui/ancillaries/hkrul_norsca_fish_5.png
hkrul_norsca_fish_06	ui/campaign ui/ancillaries/hkrul_norsca_fish_6.png
hkrul_norsca_fish_07	ui/campaign ui/ancillaries/hkrul_norsca_fish_7.png
hkrul_norsca_fish_08	ui/campaign ui/ancillaries/hkrul_norsca_fish_8.png
hkrul_norsca_fish_09	ui/campaign ui/ancillaries/hkrul_norsca_fish_9.png
hkrul_norsca_fish_10	ui/campaign ui/ancillaries/hkrul_norsca_fish_10.png
hkrul_norsca_fish_11	ui/campaign ui/ancillaries/hkrul_norsca_fish_11.png
hkrul_norsca_fish_12	ui/campaign ui/ancillaries/hkrul_norsca_fish_12.png
hkrul_norsca_fish_13	ui/campaign ui/ancillaries/hkrul_norsca_fish_13.png
hkrul_norsca_fish_14	ui/campaign ui/ancillaries/hkrul_norsca_fish_14.png
hkrul_norsca_fish_15	ui/campaign ui/ancillaries/hkrul_norsca_fish_15.png
hkrul_norsca_fish_16	ui/campaign ui/ancillaries/hkrul_norsca_fish_16.png
hkrul_norsca_fish_17	ui/campaign ui/ancillaries/hkrul_norsca_fish_17.png
hkrul_norsca_fish_18	ui/campaign ui/ancillaries/hkrul_norsca_fish_18.png
hkrul_norsca_fish_19	ui/campaign ui/ancillaries/hkrul_norsca_fish_19.png
hkrul_norsca_fish_20	ui/campaign ui/ancillaries/hkrul_norsca_fish_20.png
