ability_group	unit
#special_ability_groups_to_units_junctions_tables;0;db/special_ability_groups_to_units_junctions_tables/scm_norsca	
hkrul_adella_lore	hkrul_adella
hkrul_adella_lore	hkrul_adella_horse
hkrul_adella_lore	hkrul_adella_chariot
hkrul_adella_lore	hkrul_adella_stegadon
hkrul_soren_lore	hkrul_soren
hkrul_sayl_lore	hkrul_sayl
hkrul_sayl_lore	hkrul_sayl_chariot
hkrul_sayl_lore	hkrul_sayl_mammoth
scm_norsca_lore_alfkael	scm_norsca_alfkael
scm_norsca_lore_alfkael	rhox_alfkael_warshrine
hkrul_yngve_lore	hkrul_yngve
hkrul_yngve_lore	hkrul_yngve_chariot
hkrul_yngve_lore	hkrul_yngve_horse
hkrul_yngve_lore	hkrul_yngve_manticore
hkrul_kammler_lore	hkrul_kammler
hkrul_usta_lore	hkrul_usta
wh3_dlc20_lore_daemon_prince_mnur	hkrul_skoroth_boss
