unit_caste	unit_category	unit_class	unit_record	unit_set	exclude
#unit_set_to_unit_junctions_tables;1;db/unit_set_to_unit_junctions_tables/dead_scm_longships					
			nor_longship_ror	all_non_chs	true
			nor_longship_ror	all_units_excluding_guerrilla_deployment	true
			nor_longship_ror	dlc08_nor_marauders_all	false
			nor_longship_ror	dlc08_nor_marauders_cav_chariots	false
			nor_longship_ror	dlc08_nor_marauders_cav	false
			nor_longship_ror	dlc08_nor_marauders_mis	false
			nor_longship_ror	mp_cap_group_360_degree_fire	false
			nor_longship_ror	mp_cap_group_missile_cav_chariots_warmachines	false
			nor_longship_ror	mp_cap_unit_nor_cav_marauder_horsemen_1	false
			nor_longship_ror	nor_all	false
			nor_longship_ror	wh2_dlc11_nor_marauder_hunters_marauder_horsemen	false
			nor_longship_ror	wh2_dlc11_nor_vets_marauder_hunters_marauder_horsemen	false
			nor_longship_ror	wh2_dlc17_wulfrik_focus_units	false
			nor_longship_ror	wh3_dlc20_chs_unmarked_units	false
			nor_longship_ror	wh2_main_ror_units_all	false
			hkrul_birna_longship	all_non_chs	true
			hkrul_birna_longship	nor_all	false
			hkrul_birna_longship	mp_cap_group_rare_single_entities	false
			hkrul_birna_longship	mp_cap_group_360_degree_fire	false
			hkrul_harald_longship	all_non_chs	true
			hkrul_harald_longship	nor_all	false
			hkrul_harald_longship	mp_cap_group_rare_single_entities	false
			hkrul_harald_longship	mp_cap_group_360_degree_fire	false
			hkrul_geimdall_longship	all_non_chs	true
			hkrul_geimdall_longship	nor_all	false
			hkrul_geimdall_longship	mp_cap_group_rare_single_entities	false
			hkrul_geimdall_longship	mp_cap_group_360_degree_fire	false
			hkrul_boartusk_mammoth_ror	all_non_chs	true
			hkrul_boartusk_mammoth_ror	dlc08_mammoths	false
			hkrul_boartusk_mammoth_ror	dlc08_nor_monsters	false
			hkrul_boartusk_mammoth_ror	dlc08_nor_war_mammoths	false
			hkrul_boartusk_mammoth_ror	mp_cap_group_rare_single_entities	false
			hkrul_boartusk_mammoth_ror	mp_cap_group_single_entities	false
			hkrul_boartusk_mammoth_ror	mp_cap_unit_nor_mon_mammoths	false
			hkrul_boartusk_mammoth_ror	nor_all	false
			hkrul_boartusk_mammoth_ror	wh2_dlc11_nor_fimir_giant_mammoth	false
			hkrul_boartusk_mammoth_ror	wh2_dlc11_nor_vets_trolls_frost_wyrm_giant_mammoth_fimir	false
			hkrul_boartusk_mammoth_ror	wh_dlc08_all_mammoths_skin_wolves_ice_wolves_hounds	false
			hkrul_boartusk_mammoth_ror	wh_dlc08_feral_mammoth	false
			hkrul_boartusk_mammoth_ror	wh2_main_ror_units_all	false
