key	image_path
#ui_tagged_images_tables;0;db/ui_tagged_images_tables/hkrul_soren	
hkrul_soren_gift_1	ui/Battle UI/ability_icons/hkrul_soren_gift_1.png
hkrul_soren_gift_2	ui/Battle UI/ability_icons/hkrul_soren_gift_2.png
hkrul_soren_gift_3	ui/Battle UI/ability_icons/hkrul_soren_gift_3.png
hkrul_soren_gift_4	ui/Battle UI/ability_icons/hkrul_soren_gift_4.png
hkrul_soren_gift_2_1	ui/Battle UI/ability_icons/hkrul_soren_gift_2_1.png
hkrul_soren_gift_2_2	ui/Battle UI/ability_icons/hkrul_soren_gift_2_2.png
hkrul_soren_gift_2_3	ui/Battle UI/ability_icons/hkrul_soren_gift_2_3.png
hkrul_soren_gift_2_4	ui/Battle UI/ability_icons/hkrul_soren_gift_2_4.png
hkrul_contact_icefang	ui/skins/default/modifier_icon_hkrul_icefang.png
hkrul_akkorak_horse	ui/skins/default/hkrul_akkorak_horse.png
hkrul_norsca_devotion	ui/skins/wh_dlc08_nor_norsca/icon_devotion.png
hkrul_norsca_fish	ui/skins/default/hkrul_bjornling_fish.png
hkrul_norsca_graeling	ui/skins/default/hkrul_norsca_unite.png
hkrul_norsca_horse	ui/skins/default/hkrul_norsca_horsh.png
hkrul_norsca_wood	ui/skins/default/hkrul_norsca_wood.png
hkrul_norsca_monster	ui/skins/default/hkrul_norsca_monster.png
hkrul_norsca_dino	ui/skins/default/hkrul_norsca_dino.png
hkrul_norsca_trickster	ui/skins/default/hkrul_norsca_trickster.png
hkrul_norsca_forsaken	ui/skins/default/hkrul_norsca_forsaken.png
hkrul_norsca_devotees	ui/skins/default/icon_devotees_26px.png
hkrul_norsca_tzeentch	ui/skins/default/hkrul_norsca_tzeentch.png
hkrul_grydal_ambition	ui/skins/default/hkrul_grydal_ambition2.png
hkrul_goftur_ambition	ui/skins/default/hkrul_goftur_ambition2.png
