key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/hkrul_nor_surp											
hkrul_olg_helm	true	hkrul_olg_prayer		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_olg_axe	true	hkrul_olg_axe		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_tuula_rally	true	hkrul_tuula_rally		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	active		false
hkrul_tuula_bound	true	hkrul_tuula_bound		wh_type_area_of_ward_save		wh_main_anc_group_unique	true	false	passive		false
hkrul_tuula_axe	true	hkrul_tuula_axe		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_haftagg_shield	true	hkrul_haftagg_prayer		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_haftagg_roar	true	hkrul_haftagg_roar		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_olaf_rally	true	hkrul_olaf_hex		wh_type_hex		wh_main_anc_group_rare	true	false	active		false
hkrul_olaf_retinue	true	hkrul_tuula_axes		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	passive		false
hkrul_olaf_helm	true	hkrul_olaf_helm		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
hkrul_olaf_axe	true	hkrul_olaf_axe		wh_type_breath		wh_main_anc_group_unique	true	false	active		false
hkrul_khorne_bomb	true	hkrul_khorne_bomb		wh_type_bombardment		wh_main_anc_group_unique	true	false	active		false
hkrul_olg_spit	true	hkrul_olg_spit		wh_type_magic_missile		wh_main_anc_group_uncommon	true	false	active		false
hkrul_boartusk_shatter	false	hkrul_boartusk_stomp		wh_type_breath		wh_main_anc_group_unique	true	false	active		false
hkrul_boartusk_helm	false	hkrul_boartusk_helm		wh_type_regeneration		wh_main_anc_group_rare	true	false	passive		false
hkrul_boartusk_helm_weak	false	hkrul_boartusk_helm		wh_type_regeneration		wh_main_anc_group_rare	true	false	passive		false
