key	requires_effect_enabling	icon_name	overpower_option	type	video	uniqueness	is_unit_upgrade	is_hidden_in_ui	source_type	superseded_abilities_set	is_hidden_in_ui_for_enemy
#unit_abilities_tables;17;db/unit_abilities_tables/hkrul_late_summer											
hkrul_grydal_shield	true	hkrul_grydal_presence		wh_type_area_of_hexes		wh_main_anc_group_rare	true	false	passive		false
hkrul_goftur_rally	true	hkrul_goftur_rally		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	active		false
hkrul_goftur_shield_pas	true	hkrul_goftur_shield2		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	passive		false
hkrul_goftur_helm	true	hkrul_goftur_helm		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_goftur_sword	true	hkrul_goftur_sword		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
hkrul_shark_augment	false	hkrul_goftur_blood		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_mermedus_shield	true	hkrul_mermedus_prayer		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_mermedus_axe	true	hkrul_mermedus_axe		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_urf_rally	true	hkrul_urf_rally		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	active		false
hkrul_urf_shield_pas	true	hkrul_urf_shield2		wh_type_area_of_augments		wh_main_anc_group_unique	true	false	passive		false
hkrul_urf_helm	true	hkrul_urf_helm		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_urf_sword	true	hkrul_urf_sword		wh_type_breath		wh_main_anc_group_unique	true	false	active		false
hkrul_goftur_shark_summon	true	hkrul_goftur_shark		wh_type_augment		wh_main_anc_group_unique	true	false	bound		false
hkrul_goftur_bite	true	hkrul_goftur_bite		wh_type_direct_damage		wh_main_anc_group_unique	true	false	active		false
hkrul_goftur_wave	true	hkrul_goftur_wave		wh_type_breath		wh_main_anc_group_rare	true	false	active		false
hkrul_shark_augment_2	true	hkrul_goftur_hammer		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_goftur_cry	true	hkrul_goftur_pull		wh_type_hex		wh_main_anc_group_rare	true	false	active		false
hkrul_goftur_augment	false	hkrul_goftur_cry		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_grydal_axe	true	hkrul_grydal_axe		wh_type_breath		wh_main_anc_group_unique	true	false	active		false
hkrul_grydal_breath	true	hkrul_grydal_breath		wh_type_augment		wh_main_anc_group_rare	true	false	active		false
hkrul_grydal_mark	true	hkrul_grydal_mark		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
hkrul_grydal_hand	true	hkrul_grydal_hand		wh_type_direct_damage		wh_main_anc_group_rare	true	false	active		false
hkrul_skoroth_pas	false	hkrul_skoroth_pas		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
hkrul_moon_time	true	hkrul_moon_time		wh_type_augment		wh_main_anc_group_rare	true	false	passive		false
hkrul_circle_blooded	true	hkrul_circle_blooded		wh_type_augment		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_mermedus_mark	true	hkrul_mermedus_mark		wh_type_augment		wh_main_anc_group_uncommon	true	false	passive		false
eyri_killshot	true	hkrul_eyri_shot		wh_type_magic_missiles		wh_main_anc_group_unique	true	false	active		false
eyri_killshot_multi	true	hkrul_eyri_shot_multi		wh_type_magic_missiles		wh_main_anc_group_rare	true	false	active		false
hkrul_wolf_hunter	true	hkrul_wolf_hunter		wh_type_augment		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_yngve_eye	true	hkrul_giant_eye		wh_type_augment		wh_main_anc_group_uncommon	true	false	passive		false
hkrul_oda_spear	false	hkrul_oda_spear		wh_type_magic_missile		wh_main_anc_group_rare	true	false	active		false
hkrul_haraldur_rally	true	hkrul_haraldur_cry_2		wh_type_area_of_augments		wh_main_anc_group_rare	true	false	active		false
hkrul_haraldur_tankard	true	hkrul_haraldur_tankard		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
hkrul_haraldur_sword	true	hkrul_haraldur_spear		wh_type_breath		wh_main_anc_group_unique	true	false	active		false
hkrul_haraldur_shield	true	hkrul_haraldur_shield		wh_type_augment		wh_main_anc_group_unique	true	false	passive		false
hkrul_skald_rally	true	hkrul_skald_cry_3		wh_type_area_of_augments		wh_main_anc_group_uncommon	true	false	active		false
hkrul_crimson_rain_2	true	hkrul_crimson_rain_2		wh_type_summon_unit		wh_main_anc_group_unique	true	false	active		false
hkrul_haraldur_killshot	true	hkrul_haraldur_spear		wh_type_magic_missiles		wh_main_anc_group_unique	true	false	active		false
hkrul_snaegr_mark	true	hkrul_mark_grydal_2		wh_type_augment		wh_main_anc_group_uncommon	true	false	passive		false
