key	resource
#slot_templates_tables;0;db/slot_templates_tables/zzz_scm_norsca_comp	
cr_major_secondary_naglheim	
cr_minor_secondary_yusak_camp	
cr_major_secondary_skjold	
cr_minor_secondary_kalti_delta	
cr_major_secondary_graeling_moot	
cr_major_secondary_altar_of_spawns	
cr_minor_secondary_temple_of_heimkel	res_ivory
cr_minor_secondary_isle_of_wights	res_rom_oil
cr_minor_secondary_horvenghaast	
cr_minor_secondary_hall_of_snaegr	
cr_minor_secondary_temple_of_mermedus	
cr_minor_secondary_losteriksons_landing	
cr_minor_secondary_bragnir	
cr_major_secondary_hall_of_urslo	
