issuer_key	mission_key
#cdir_events_mission_issuer_junctions_tables;1;db/cdir_events_mission_issuer_junctions_tables/hkrul_norsca_qb_sur	
CLAN_ELDERS	hkrul_bloodtide_olaf_spear_final_battle
CLAN_ELDERS	hkrul_sarl_birna_bogtusk_final_battle
CLAN_ELDERS	hkrul_baerson_einar_bubos_battle
CLAN_ELDERS	hkrul_baerson_einar_aesling_battle
CLAN_ELDERS	hkrul_sarl_birna_bogtusk_mission_1
CLAN_ELDERS	hkrul_sarl_birna_bogtusk_mission_2
CLAN_ELDERS	hkrul_sarl_birna_bogtusk_mission_3
CLAN_ELDERS	hkrul_sarl_birna_bogtusk_mission_4
CLAN_ELDERS	hkrul_olaf_spear_0
CLAN_ELDERS	hkrul_olaf_spear_1
CLAN_ELDERS	hkrul_olaf_spear_2
CLAN_ELDERS	hkrul_olaf_spear_3
CLAN_ELDERS	hkrul_olaf_spear_4
CLAN_ELDERS	hkrul_olaf_spear_5
CLAN_ELDERS	hkrul_grydal_snaegr_hall
CLAN_ELDERS	hkrul_grydal_snaegr_hall_ime
CLAN_ELDERS	hkrul_baerson_einar_palace_battle
