battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index	jettison_rider
#land_units_to_battle_personalities_junctions_tables;2;db/land_units_to_battle_personalities_junctions_tables/hkrul_nor_surp					
wh_dlc08_nor_all_marauder_chariot_rider1	hkrul_tuula_chariot	autonomous_rider	ap_crewposition_0	-1	true
hkrul_tuula_chariot_rider	hkrul_tuula_chariot	autonomous_rider	ap_crewposition_1	-1	true
wh_dlc08_nor_all_marauder_chariot_rider1	hkrul_olg_chariot	autonomous_rider	ap_crewposition_0	-1	true
hkrul_olg_chariot_rider	hkrul_olg_chariot	autonomous_rider	ap_crewposition_1	-1	true
wh_dlc08_nor_all_marauder_chariot_rider1	hkrul_olaf_chariot	autonomous_rider	ap_crewposition_0	-1	true
hkrul_olaf_chariot_rider	hkrul_olaf_chariot	autonomous_rider	ap_crewposition_1	-1	true
hkrul_olaf_mammoth_rider	hkrul_olaf_mammoth	officer	ap_howdahcrew_0	-1	true
wh_dlc08_nor_all_marauder_chariot_rider1	hkrul_haraldur_chariot	autonomous_rider	ap_crewposition_0	-1	true
hkrul_haraldur_chariot	hkrul_haraldur_chariot	autonomous_rider	ap_crewposition_1	-1	true
