battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index	jettison_rider
#land_units_to_battle_personalities_junctions_tables;2;db/land_units_to_battle_personalities_junctions_tables/vmst_land_units_to_battle_personalities_junctions_data					
wh_mod_nor_siege_tower_rider_0	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_03	-1	true
wh_mod_nor_siege_tower_rider_1	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_04	-1	true
wh_mod_nor_siege_tower_rider_2	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_05	-1	true
wh_mod_nor_siege_tower_rider_3	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_06	-1	true
wh_mod_nor_siege_tower_rider_4	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_07	-1	true
wh_mod_nor_siege_tower_rider_5	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_08	-1	true
wh_mod_nor_siege_tower_rider_6	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_09	-1	true
wh_mod_nor_siege_tower_rider_7	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_10	-1	true
wh_mod_nor_siege_tower_rider_8	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_11	-1	true
wh_mod_nor_siege_tower_rider_9	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_12	-1	true
wh_mod_nor_siege_tower_rider_10	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_01	-1	true
wh_mod_nor_siege_tower_rider_11	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_02	-1	true
wh_mod_nor_siege_tower_cannon	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_00	-1	true
wh_mod_nor_siege_tower_pilot	wh_mod_nor_veh_mammoth_siege_tower_0	autonomous_rider	ap_platform_rider_13	-1	true
