army_name	battle_name
#battle_set_piece_armies_junctions_tables;0;db/battle_set_piece_armies_junctions_tables/hkrul_norsca_qb_einar	
hkrul_baerson_einar_bubos_enemy_beastmen_main	hkrul_baerson_einar_bubos
hkrul_baerson_einar_bubos_enemy_beastmen_reserve	hkrul_baerson_einar_bubos
hkrul_baerson_einar_bubos_player	hkrul_baerson_einar_bubos
ga_player_ally	hkrul_baerson_einar_aesling
ga_ai_01	hkrul_baerson_einar_aesling
hkrul_baerson_einar_aesling_player	hkrul_baerson_einar_aesling
hkrul_skoroth_nor	hkrul_baerson_einar_skoroth
hkrul_skoroth_nur	hkrul_baerson_einar_skoroth
hkrul_skoroth_skoroth	hkrul_baerson_einar_skoroth
hkrul_skoroth_nur2	hkrul_baerson_einar_skoroth
hkrul_baerson_einar_skoroth_player	hkrul_baerson_einar_skoroth
