character_skill	character_level	upgrade_to_skill_level
#character_skills_to_level_reached_criterias_tables;0;db/character_skills_to_level_reached_criterias_tables/scm_norsca		
hkrul_adella_mount	8	1
hkrul_akkorak_spear	10	1
hkrul_birna_bow	6	1
hkrul_birna_sword	11	1
hkrul_drenok_axe	7	1
hkrul_einar_sword	8	1
hkrul_harald_sword	9	1
hkrul_lokjar_horse	3	1
hkrul_lokjar_chariot	9	1
hkrul_lokjar_gorger	5	1
hkrul_lokjar_amulet	10	1
hkrul_sayl_staff	13	1
hkrul_ulfric_mammoth	17	1
hkrul_ulfric_axe	7	1
hkrul_hakka_axe	7	1
