id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/wolftribe_landmark		
56393	wolftribe_greathall_0	wh_dlc08_nor_cha_skin_wolf_werekin_0
56394	wolftribe_greathall_0	wh_dlc08_nor_inf_marauder_hunters_0
56395	wolftribe_greathall_0	wh_dlc08_nor_inf_marauder_hunters_0
56396	wolftribe_greathall_0	wolftribe_nor_mon_warwolves_0
56397	wolftribe_greathall_1	wh_dlc08_nor_cha_skin_wolf_werekin_0
56398	wolftribe_greathall_1	wh_dlc08_nor_inf_marauder_hunters_0
56399	wolftribe_greathall_1	wh_dlc08_nor_inf_marauder_hunters_0
56400	wolftribe_greathall_1	wolftribe_nor_mon_warwolves_0
56401	wolftribe_greathall_1	wolftribe_nor_mon_warwolves_0
56402	wolftribe_greathall_1	wolftribe_nor_mon_skinwolves_1
56403	wolftribe_greathall_2	wh_dlc08_nor_cha_skin_wolf_werekin_0
56404	wolftribe_greathall_2	wh_dlc08_nor_inf_marauder_hunters_0
56405	wolftribe_greathall_2	wh_dlc08_nor_inf_marauder_hunters_0
56406	wolftribe_greathall_2	wolftribe_nor_mon_warwolves_0
56407	wolftribe_greathall_2	wolftribe_nor_mon_warwolves_0
56408	wolftribe_greathall_2	wolftribe_nor_mon_skinwolves_1
56409	wolftribe_greathall_2	wh_main_nor_inf_chaos_marauders_1
56410	wolftribe_greathall_2	wh_main_nor_inf_chaos_marauders_1
56411	wolftribe_greathall_2	wolftribe_nor_inf_wolfguard_honorguard
