id	building_level	unit_group
#building_level_armed_citizenry_junctions_tables;1;db/building_level_armed_citizenry_junctions_tables/scm_norsca		
713827661	wolftribe_greathall_0	wh_dlc08_nor_cha_skin_wolf_werekin_0
713827662	wolftribe_greathall_0	wh_dlc08_nor_inf_marauder_hunters_0
713827663	wolftribe_greathall_0	wh_dlc08_nor_inf_marauder_hunters_0
713827664	wolftribe_greathall_0	wolftribe_nor_mon_warwolves_0
713827665	wolftribe_greathall_1	wh_dlc08_nor_cha_skin_wolf_werekin_0
713827666	wolftribe_greathall_1	wh_dlc08_nor_inf_marauder_hunters_0
713827667	wolftribe_greathall_1	wh_dlc08_nor_inf_marauder_hunters_0
713827668	wolftribe_greathall_1	wolftribe_nor_mon_warwolves_0
713827669	wolftribe_greathall_1	wolftribe_nor_mon_warwolves_0
713827670	wolftribe_greathall_1	wolftribe_nor_mon_skinwolves_1
713827671	wolftribe_greathall_2	wh_dlc08_nor_cha_skin_wolf_werekin_0
713827672	wolftribe_greathall_2	wh_dlc08_nor_inf_marauder_hunters_0
713827673	wolftribe_greathall_2	wh_dlc08_nor_inf_marauder_hunters_0
713827674	wolftribe_greathall_2	wolftribe_nor_mon_warwolves_0
713827675	wolftribe_greathall_2	wolftribe_nor_mon_warwolves_0
713827676	wolftribe_greathall_2	wolftribe_nor_mon_skinwolves_1
713827677	wolftribe_greathall_2	wh_main_nor_inf_chaos_marauders_1
713827678	wolftribe_greathall_2	wh_main_nor_inf_chaos_marauders_1
713827680	rhox_fc_norsca_great_gathering	rhox_baersonling_champion
713827681	rhox_fc_norsca_ruins_of_vinnskor	rhox_kurgan_champion
713827682	rhox_fc_norsca_chaos_iceberg	rhox_drenok_lesser_ice_golem
713827683	rhox_fc_norsca_chaos_iceberg	rhox_drenok_lesser_ice_golem
713827684	rhox_fc_norsca_hafskael_yard	hkrul_bjornling_huscarl
713827685	hkrul_norsca_duel_circle	wh_dlc08_nor_inf_marauder_champions_0
713827687	hkrul_norsca_snaegr_hall	wh3_main_kho_inf_chaos_warriors_0
713827688	hkrul_norsca_snaegr_hall	wh3_main_kho_inf_chaos_warriors_1
713827689	hkrul_norsca_snaegr_hall	wh3_main_kho_inf_chaos_warriors_2
713827690	hkrul_norsca_mermedus_temple	hkrul_shark_1
713827691	hkrul_norsca_erik_tomb	hkrul_skeggi_inf_marauder_champions_0
713827692	hkrul_norsca_barrows	hkrul_skald
