item	set	initially_locked
#initiative_set_items_tables;1;db/initiative_set_items_tables/rhox_fc_norsca		
rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	rhox_baersonling_marauder_chieftain_initiatives	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_01	rhox_baersonling_marauder_chieftain_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_02	rhox_baersonling_marauder_chieftain_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_04	rhox_baersonling_marauder_chieftain_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_05	rhox_baersonling_marauder_chieftain_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_06	rhox_baersonling_marauder_chieftain_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_07	rhox_baersonling_marauder_chieftain_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_08	rhox_baersonling_marauder_chieftain_boons	true
rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	rhox_baersonling_tze_chaos_lord_initiatives	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_01	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_02	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_04	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_05	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_06	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_07	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_08	rhox_baersonling_tze_chaos_lord_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_01	rhox_baersonling_daemon_prince_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_02	rhox_baersonling_daemon_prince_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_04	rhox_baersonling_daemon_prince_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_05	rhox_baersonling_daemon_prince_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_06	rhox_baersonling_daemon_prince_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_07	rhox_baersonling_daemon_prince_boons	true
wh3_dlc20_character_initiative_chs_chaos_sorcerer_lord_tze_08	rhox_baersonling_daemon_prince_boons	true
