item	set	initially_locked
#initiative_set_items_tables;1;db/initiative_set_items_tables/hkrul_late_summer		
hkrul_grydal_initiative_01	hkrul_grydal_initiative_set	true
hkrul_grydal_initiative_02	hkrul_grydal_initiative_set	true
hkrul_grydal_initiative_03	hkrul_grydal_initiative_set	true
hkrul_grydal_initiative_04	hkrul_grydal_initiative_set	true
hkrul_grydal_ascend	hkrul_grydal_ascend	true
hkrul_goftur_initiative_02	hkrul_goftur_initiative_set	true
hkrul_goftur_initiative_03	hkrul_goftur_initiative_set	true
hkrul_goftur_initiative_04	hkrul_goftur_initiative_set	true
hkrul_goftur_initiative_05	hkrul_goftur_initiative_set	true
hkrul_goftur_ascend	hkrul_goftur_ascend	true
