key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/vmst_battle_personalities_data							
wh_mod_nor_siege_tower_rider_0	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_1	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_2	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_3	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_4	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_5	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_6	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_7	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_8	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_9	hu3_wm_dwf_crossbow	mod_varg_dwf_warriors	wh_main_infantry_rider_blood	wh_mod_nor_veh_tower_crossbow_crew_1	false	true	false
wh_mod_nor_siege_tower_rider_10	hu3_dwarf_2handed_hammer	mod_varg_dwf_warriors_great_weapons	wh_main_infantry_rider_blood		false	true	false
wh_mod_nor_siege_tower_rider_11	hu3_dwarf_2handed_hammer	mod_varg_dwf_warriors_great_weapons	wh_main_infantry_rider_blood		false	true	false
wh_mod_nor_siege_tower_cannon	wm_mounted_catapult02	wh_mod_nor_art_catapult_mounted	wh_mod_nor_mounted_catapult_120	wh_mod_nor_veh_tower_artillery_1	false	true	false
wh_mod_nor_siege_tower_pilot	hu1c_wm_spear_pilot	wh_mod_varg_mahout	wh_main_infantry_rider_blood		false	true	false
