effect	icon	priority	icon_negative	category	is_positive_value_good
#effects_tables;0;db/effects_tables/hkrul_surtha_ek					
hkrul_surtha_chariots_unit_xp	experience.png	300	experience.png	campaign	true
hkrul_surtha_chariots_speed	battle_movement.png	300	battle_movement.png	battle	true
hkrul_surtha_chariots_charge	charge.png	300	charge.png	battle	true
hkrul_surtha_chariots_fear	attribute_causes_fear.png	300	attribute_causes_fear.png	battle	true
hkrul_surtha_chariots_glorious	hkrul_attribute_glorious.png	300	hkrul_attribute_glorious.png	battle	true
hkrul_surtha_chariots_melee_attack	melee.png	300	melee.png	battle	true
hkrul_surtha_chariots_upkeep	military_spending.png	300	military_spending.png	campaign	false
rhox_varg_auto_colonise_dummy	settlement.png	100	settlement.png	campaign	true
rhox_varg_chaos_spawn_dummy	reign_of_chaos.png	200	reign_of_chaos.png	campaign	true
rhox_varg_chaos_spawn_chance	reign_of_chaos.png	1	reign_of_chaos.png	campaign	true
