effect	effect_list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/ab_wolftribe			
wh_main_effect_ability_enable_glittering_scales	packlord_hunter_trait_ocean_hunter	character_to_character_own	1.0000
wh_main_effect_region_resource_salt_production	packlord_hunter_trait_ocean_hunter	character_to_region_own	10.0000
wh2_dlc15_effect_unit_enable_attribute_woodsman	packlord_hunter_trait_forest_hunter	general_to_force_own	1.0000
wh2_dlc16_effect_vanguard_deploy_forest_battles	packlord_hunter_trait_forest_hunter	general_to_force_own	1.0000
wh_main_effect_character_stat_unit_health	packlord_hunter_trait_tundra_hunter	general_to_force_own	5.0000
wh_main_effect_region_resource_furs_production	packlord_hunter_trait_tundra_hunter	character_to_region_own	10.0000
wh2_dlc15_effect_unit_enable_attribute_charge_defence_against_large	packlord_hunter_trait_wasteland_hunter	general_to_force_own	1.0000
wh2_dlc17_effect_ability_enable_bloodgreed	packlord_hunter_trait_wasteland_hunter	character_to_character_own	1.0000
wh_main_effect_force_stat_melee_attack	packlord_hunter_trait_badlands_hunter	general_to_force_own	5.0000
wh3_main_effect_region_resource_ivory_production	packlord_hunter_trait_badlands_hunter	character_to_region_own	10.0000
wh2_dlc16_effect_siege_attacker_hidden	packlord_hunter_trait_badlands_hunter	general_to_force_own	1.0000
wh_main_effect_region_resource_animals_production	packlord_hunter_trait_desert_hunter	character_to_region_own	10.0000
wh_main_effect_force_stat_vigour_loss_reduction	packlord_hunter_trait_desert_hunter	general_to_force_own	-33.0000
wh3_main_effect_force_stat_unit_mass_percentage_mod	packlord_hunter_trait_mountain_hunter	character_to_character_own	25.0000
wh_main_effect_region_resource_marble_production	packlord_hunter_trait_mountain_hunter	character_to_region_own	10.0000
wh2_dlc14_effect_force_charge_bonus_add	packlord_hunter_trait_grassland_hunter	general_to_force_own	5.0000
wh_main_effect_region_resource_wine_production	packlord_hunter_trait_grassland_hunter	character_to_region_own	10.0000
wolftribe_effect_enable_primal_instincts	packlord_hunter_trait_jungle_hunter	general_to_force_own	1.0000
wh_main_effect_character_stat_unit_health	packlord_hunter_trait_jungle_hunter	character_to_character_own	10.0000
wh_main_effect_attribute_enable_causes_fear	packlord_hunter_trait_underground_hunter	general_to_force_own	1.0000
wh3_dlc20_effect_attribute_immune_to_contact_stat_effects	packlord_hunter_trait_underground_hunter	character_to_character_own	1.0000
wh_main_effect_character_stat_fire_resistance	packlord_hunter_trait_dragon_hunter	general_to_force_own	25.0000
wh_main_effect_region_resource_gem_production	packlord_hunter_trait_dragon_hunter	character_to_region_own	10.0000
wh2_main_effect_character_stat_enable_flaming_attacks	packlord_hunter_trait_vampire_hunter	character_to_character_own	1.0000
wh2_main_effect_region_resource_gold_idols_production	packlord_hunter_trait_mummy_hunter	character_to_region_own	15.0000
wh_main_effect_attribute_enable_immune_to_psychology	packlord_hunter_trait_mummy_hunter	general_to_force_own	1.0000
wh_main_effect_region_resource_pottery_production	packlord_hunter_trait_man_hunter	character_to_region_own	10.0000
wh3_main_effect_ability_enable_revel_in_slaughter	packlord_hunter_trait_man_hunter	character_to_character_own	1.0000
wh_main_effect_region_resource_trinkets_production	packlord_hunter_trait_h_elf_hunter	character_to_region_own	10.0000
enable_passive_redirecting_aura	packlord_hunter_trait_h_elf_hunter	character_to_character_own	1.0000
wh_main_effect_region_resource_timber_production	packlord_hunter_trait_w_elf_hunter	character_to_region_own	10.0000
wh_main_effect_force_stat_missile_resistance	packlord_hunter_trait_w_elf_hunter	general_to_force_own	10.0000
wh_main_effect_region_resource_obsidian_production	packlord_hunter_trait_d_elf_hunter	character_to_region_own	10.0000
wolftribe_ability_enable_mimic_murderous_prowess	packlord_hunter_trait_d_elf_hunter	character_to_character_own	1.0000
wh_main_effect_region_resource_beer_production	packlord_hunter_trait_dwarf_hunter	character_to_region_own	10.0000
wh_main_effect_force_stat_weapon_strength	packlord_hunter_trait_dwarf_hunter	general_to_force_own	5.0000
wh_main_effect_region_resource_spices_production	packlord_hunter_trait_celestial_hunter	character_to_region_own	25.0000
wh3_main_effect_ability_enable_glittering_robe_dragon	packlord_hunter_trait_celestial_hunter	character_to_character_own	1.0000
wh_main_effect_region_resource_iron_production	packlord_hunter_trait_daemon_hunter	character_to_region_own	20.0000
wh_main_effect_character_stat_ward_save	packlord_hunter_trait_daemon_hunter	character_to_character_own	10.0000
wh_main_effect_character_stat_enable_magic_attacks	packlord_hunter_trait_vampire_hunter	general_to_force_own	1.0000
