effect	effect_list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/hkrul_late_summer			
hkrul_goftur_chaos_dummy	hkrul_goftur_initiative_02	character_to_character_own	1.0000
hkrul_sharks_melee_defence	hkrul_goftur_initiative_02	general_to_force_own	10.0000
wh_main_effect_force_all_campaign_upkeep	hkrul_goftur_initiative_02	general_to_force_own	-15.0000
hkrul_goftur_chaos_dummy	hkrul_goftur_initiative_03	character_to_character_own	1.0000
hkrul_goftur_wave	hkrul_goftur_initiative_03	character_to_character_own	1.0000
hkrul_goftur_chaos_dummy	hkrul_goftur_initiative_04	character_to_character_own	1.0000
wh_main_effect_force_all_campaign_movement_range	hkrul_goftur_initiative_04	general_to_force_own	15.0000
hkrul_sharks_melee	hkrul_goftur_initiative_04	general_to_force_own	10.0000
wh3_dlc20_effect_character_upgrade_dummy	hkrul_goftur_ascend	character_to_character_own	1.0000
hkrul_goftur_sacrifice_dummy	hkrul_goftur_ascend	character_to_character_own	1.0000
hkrul_grydal_chaos_dummy	hkrul_grydal_initiative_01	character_to_character_own	1.0000
hkrul_grydal_mark	hkrul_grydal_initiative_01	character_to_character_own_factionwide_heroes	1.0000
hkrul_grydal_chaos_dummy	hkrul_grydal_initiative_02	character_to_character_own	1.0000
wh_main_effect_force_all_campaign_upkeep	hkrul_grydal_initiative_02	general_to_force_own	-15.0000
wh_main_effect_character_stat_weapon_strength_base_mult	hkrul_grydal_initiative_02	character_to_character_own	10.0000
hkrul_grydal_chaos_dummy	hkrul_grydal_initiative_03	character_to_character_own	1.0000
wh_main_effect_character_stat_ward_save	hkrul_grydal_initiative_03	character_to_character_own	5.0000
wh_main_effect_attribute_enable_unbreakable	hkrul_grydal_initiative_03	character_to_character_own	1.0000
hkrul_grydal_chaos_dummy	hkrul_grydal_initiative_04	character_to_character_own	1.0000
hkrul_grydal_hand	hkrul_grydal_initiative_04	character_to_character_own	1.0000
wh3_dlc20_effect_character_upgrade_dummy	hkrul_grydal_ascend	character_to_character_own	1.0000
hkrul_grydal_sacrifice_dummy	hkrul_grydal_ascend	character_to_character_own	1.0000
hkrul_goftur_chaos_dummy	hkrul_goftur_initiative_05	character_to_character_own	1.0000
hkrul_goftur_ror_dummy	hkrul_goftur_initiative_05	character_to_character_own	1.0000
