level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	only_in_capital	faction_unique	first_in_world_bundle	resource_requirement	can_convert	building_instance_key	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	can_be_damaged	primary_slot_building_building_level_requirement	audio_building_type	visible_in_ui	food_cost	slave_cap_contribution	resource_cost	additional_loot_value	resource_transaction_on_complete	split_chain_sort_order
#building_levels_tables;2;db/building_levels_tables/rhox_adella																									
rhox_adella_dae_temple_kho_1	rhox_adella_dae_temple_kho	0	1	1000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	1		true	0	0		0		-1
rhox_adella_dae_temple_kho_2	rhox_adella_dae_temple_kho	1	2	1500	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	2		true	0	0		0		-1
rhox_adella_dae_temple_kho_3	rhox_adella_dae_temple_kho	2	3	2000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	3		true	0	0		0		-1
rhox_adella_dae_temple_kho_4	rhox_adella_dae_temple_kho	3	4	3000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	4		true	0	0		0		-1
rhox_adella_dae_temple_kho_5	rhox_adella_dae_temple_kho	4	5	4000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	5		true	0	0		0		-1
rhox_adella_dae_temple_nur_1	rhox_adella_dae_temple_nur	0	1	1000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	1		true	0	0		0		-1
rhox_adella_dae_temple_nur_2	rhox_adella_dae_temple_nur	1	2	1500	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	2		true	0	0		0		-1
rhox_adella_dae_temple_nur_3	rhox_adella_dae_temple_nur	2	3	2000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	3		true	0	0		0		-1
rhox_adella_dae_temple_nur_4	rhox_adella_dae_temple_nur	3	4	3000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	4		true	0	0		0		-1
rhox_adella_dae_temple_nur_5	rhox_adella_dae_temple_nur	4	5	4000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	5		true	0	0		0		-1
rhox_adella_dae_temple_sla_1	rhox_adella_dae_temple_sla	0	1	1000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	1		true	0	0		0		-1
rhox_adella_dae_temple_sla_2	rhox_adella_dae_temple_sla	1	2	1500	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	2		true	0	0		0		-1
rhox_adella_dae_temple_sla_3	rhox_adella_dae_temple_sla	2	3	2000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	3		true	0	0		0		-1
rhox_adella_dae_temple_sla_4	rhox_adella_dae_temple_sla	3	4	3000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	4		true	0	0		0		-1
rhox_adella_dae_temple_sla_5	rhox_adella_dae_temple_sla	4	5	4000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	5		true	0	0		0		-1
rhox_adella_dae_temple_tze_1	rhox_adella_dae_temple_tze	0	1	1000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	1		true	0	0		0		-1
rhox_adella_dae_temple_tze_2	rhox_adella_dae_temple_tze	1	2	1500	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	2		true	0	0		0		-1
rhox_adella_dae_temple_tze_3	rhox_adella_dae_temple_tze	2	3	2000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	3		true	0	0		0		-1
rhox_adella_dae_temple_tze_4	rhox_adella_dae_temple_tze	3	4	3000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	4		true	0	0		0		-1
rhox_adella_dae_temple_tze_5	rhox_adella_dae_temple_tze	4	5	4000	0		false	false			true	rhox_adella_dae_temple	false	0.0000	0	true	5		true	0	0		0		-1
