key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/ab_wolftribe			
packlord_hunter_trait_ocean_hunter	1	packlord_hunter_trait_ocean_hunter	1
packlord_hunter_trait_forest_hunter	1	packlord_hunter_trait_forest_hunter	1
packlord_hunter_trait_tundra_hunter	1	packlord_hunter_trait_tundra_hunter	1
packlord_hunter_trait_wasteland_hunter	1	packlord_hunter_trait_wasteland_hunter	1
packlord_hunter_trait_badlands_hunter	1	packlord_hunter_trait_badlands_hunter	1
packlord_hunter_trait_desert_hunter	1	packlord_hunter_trait_desert_hunter	1
packlord_hunter_trait_mountain_hunter	1	packlord_hunter_trait_mountain_hunter	1
packlord_hunter_trait_grassland_hunter	1	packlord_hunter_trait_grassland_hunter	1
packlord_hunter_trait_jungle_hunter	1	packlord_hunter_trait_jungle_hunter	1
packlord_hunter_trait_underground_hunter	1	packlord_hunter_trait_underground_hunter	1
packlord_hunter_trait_dragon_hunter	1	packlord_hunter_trait_dragon_hunter	1
packlord_hunter_trait_vampire_hunter	1	packlord_hunter_trait_vampire_hunter	1
packlord_hunter_trait_mummy_hunter	1	packlord_hunter_trait_mummy_hunter	1
packlord_hunter_trait_man_hunter	1	packlord_hunter_trait_man_hunter	1
packlord_hunter_trait_h_elf_hunter	1	packlord_hunter_trait_h_elf_hunter	1
packlord_hunter_trait_w_elf_hunter	1	packlord_hunter_trait_w_elf_hunter	1
packlord_hunter_trait_d_elf_hunter	1	packlord_hunter_trait_d_elf_hunter	1
packlord_hunter_trait_dwarf_hunter	1	packlord_hunter_trait_dwarf_hunter	1
packlord_hunter_trait_celestial_hunter	1	packlord_hunter_trait_celestial_hunter	1
packlord_hunter_trait_daemon_hunter	1	packlord_hunter_trait_daemon_hunter	1
savage_hunter_trait_savage_hunter	1	savage_hunter_trait_savage_hunter	1
