character_name	character_level	forename	magic_lore	num_men	surname	unit_type	agent_type	agent_subtype	portrait	character_model	skillset	male
#battle_set_piece_armies_characters_tables;8;db/battle_set_piece_armies_characters_tables/scm_norsca												
hkrul_akkorak	1	2147343937		100	2147343940	hkrul_akkorak	general	hkrul_akkorak	ui/portraits/portholes/no_culture/hkrul_akkorak.png	203871722		true
hkrul_birna	1	2147343937		100	2147343940	hkrul_birna	general	hkrul_birna	ui/portraits/portholes/no_culture/hkrul_birna.png	203871723		true
hkrul_drenok	1	2147343937		100	2147343940	hkrul_drenok	general	hkrul_drenok	ui/portraits/portholes/no_culture/hkrul_drenok.png	203871724		true
hkrul_einar	1	2147343937		100	2147343940	hkrul_einar	general	hkrul_einar	ui/portraits/portholes/no_culture/hkrul_einar.png	203871725		true
hkrul_harald	1	2147343937		100	2147343940	hkrul_harald	general	hkrul_harald	ui/portraits/portholes/no_culture/hkrul_harald.png	203871726		true
hkrul_sayl	1	2147343937		100	2147343940	hkrul_sayl	general	hkrul_sayl	ui/portraits/portholes/no_culture/hkrul_sayl.png	203871727		true
hkrul_verdandi	1	2147343937		100	2147343940	hkrul_verdandi	champion	hkrul_verdandi	ui/portraits/portholes/no_culture/hkrul_verdandi.png	203871729		true
hkrul_kolsveinn	1	2147343937		100	2147343937	hkrul_kolsveinn	champion	hkrul_kolsveinn	ui/portraits/portholes/no_culture/hkrul_kolsveinn.png	203871730		true
hkrul_swyrd	1	2147343937		100	2147343937	hkrul_swyrd	champion	hkrul_swyrd	ui/portraits/portholes/no_culture/hkrul_swyrd.png	203871731		true
hkrul_lokjar	1	2147343937		100	2147343940	hkrul_lokjar	champion	hkrul_lokjar	ui/portraits/portholes/no_culture/hkrul_lokjar.png	201735971		true
hkrul_hakka	1	2147343937		100	2147343940	hkrul_hakka	general	hkrul_hakka	ui/portraits/portholes/no_culture/hkrul_hakka.png	201735973		true
hkrul_adella	1	5670500338		100	5670500337	hkrul_adella	general	hkrul_adella	ui/portraits/portholes/no_culture/hkrul_adella.png	203871720		true
hkrul_soren	1	5670500341		100	5670500340	hkrul_soren	general	hkrul_soren	ui/portraits/portholes/no_culture/hkrul_soren.png	203871721		true
hkrul_ulfric	1	5270700351		100	5270700350	hkrul_ulfric_mammoth	general	hkrul_ulfric	ui/portraits/portholes/no_culture/hkrul_ulfric.png	203871728		true
hkrul_oda	1	2147343937		100	2147343940	hkrul_oda	champion	hkrul_oda	ui/portraits/portholes/no_culture/hkrul_oda.png	201735974		true
hkrul_rafn	1	2147343937		100	2147343940	hkrul_rafn	champion	hkrul_rafn	ui/portraits/portholes/no_culture/hkrul_einar.png	201735975		true
hkrul_hrothgar	1	2147343937		100	2147343940	hkrul_hrothgar	general	hkrul_hrothgar	ui/portraits/portholes/no_culture/hkrul_einar.png	201735976		true
hkrul_sarg	1	2147343937		100	2147343940	hkrul_sarg	general	hkrul_sarg	ui/portraits/portholes/no_culture/hkrul_sargath.png	201735985		true
hkrul_uzul	1	2147343937		100	2147343940	hkrul_uzul	champion	hkrul_uzul	ui/portraits/portholes/no_culture/hkrul_uzkulek.png	201735984		true
