campaign_group	effect_bundle	effect_type
#campaign_group_pooled_resource_effects_tables;2;db/campaign_group_pooled_resource_effects_tables/rhox_fc_norsca		
rhox_adella_corruption_tzeentch_91-100_rhox_adella_tze_tzeentch	rhox_adella_corruption_tzeentch_91-100_rhox_adella_tze_tzeentch	ABSOLUTE_VALUE
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	ABSOLUTE_VALUE
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	ABSOLUTE_VALUE
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	ABSOLUTE_VALUE
rhox_baersonling_high_wom	rhox_baersonling_high_wom	ABSOLUTE_VALUE
rhox_adella_corruption_tzeentch_51-60	rhox_adella_corruption_tzeentch_51-60	ABSOLUTE_VALUE
rhox_adella_corruption_tzeentch_61-70	rhox_adella_corruption_tzeentch_61-70	ABSOLUTE_VALUE
rhox_adella_corruption_tzeentch_71-80	rhox_adella_corruption_tzeentch_71-80	ABSOLUTE_VALUE
rhox_adella_corruption_tzeentch_81-90	rhox_adella_corruption_tzeentch_81-90	ABSOLUTE_VALUE
rhox_adella_corruption_nurgle_51-60	rhox_adella_corruption_nurgle_51-60	ABSOLUTE_VALUE
rhox_adella_corruption_nurgle_61-70	rhox_adella_corruption_nurgle_61-70	ABSOLUTE_VALUE
rhox_adella_corruption_nurgle_71-80	rhox_adella_corruption_nurgle_71-80	ABSOLUTE_VALUE
rhox_adella_corruption_nurgle_81-90	rhox_adella_corruption_nurgle_81-90	ABSOLUTE_VALUE
rhox_adella_corruption_khorne_51-60	rhox_adella_corruption_khorne_51-60	ABSOLUTE_VALUE
rhox_adella_corruption_khorne_61-70	rhox_adella_corruption_khorne_61-70	ABSOLUTE_VALUE
rhox_adella_corruption_khorne_71-80	rhox_adella_corruption_khorne_71-80	ABSOLUTE_VALUE
rhox_adella_corruption_khorne_81-90	rhox_adella_corruption_khorne_81-90	ABSOLUTE_VALUE
rhox_adella_corruption_slaanesh_51-60	rhox_adella_corruption_slaanesh_51-60	ABSOLUTE_VALUE
rhox_adella_corruption_slaanesh_61-70	rhox_adella_corruption_slaanesh_61-70	ABSOLUTE_VALUE
rhox_adella_corruption_slaanesh_71-80	rhox_adella_corruption_slaanesh_71-80	ABSOLUTE_VALUE
rhox_adella_corruption_slaanesh_81-90	rhox_adella_corruption_slaanesh_81-90	ABSOLUTE_VALUE
