member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/rhox_adellia		
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_Negative	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionDarkElves	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionDarkElves_&_Negative	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionHighElves	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionHighElves_&_Negative	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionLizardmen	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionLizardmen_&_Negative	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionSkaven	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionSkaven_&_Negative	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionTombKings	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionTombKings_&_Negative	ACTOR	wh2_main_nor_skeggi
diplomacy_Faction_SupremeSorceress_rhox_skeggi_	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_1-10_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_11-20_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_21-30_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_31-40_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_41-50_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_51-60_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_61-70_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_71-80_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_81-90_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_tzeentch_91-100_rhox_adella_tze_tzeentch	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_1-10_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_11-20_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_21-30_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_31-40_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_41-50_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_51-60_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_61-70_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_71-80_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_81-90_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_nurgle_91-100_rhox_adella_nur_nurgle	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_1-10_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_11-20_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_21-30_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_31-40_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_41-50_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_51-60_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_61-70_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_71-80_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_81-90_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_khorne_91-100_rhox_adella_kho_khorne	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_1-10_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_11-20_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_21-30_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_31-40_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_41-50_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_51-60_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_61-70_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_71-80_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_81-90_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
rhox_adella_corruption_slaanesh_91-100_rhox_adella_sla_slaanesh	ACTOR	wh2_main_nor_skeggi
