member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/sayl_campaign_group_member_criteria_factions_data		
diplomacy_Subcult_Norsca_&_FactionSorcLord	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Positive	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Positive	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Positive	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Positive	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Positive	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin_&_Negative	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin_&_Positive	ACTOR	wh3_dlc20_nor_dolgan
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionNorsca	ACTOR	wh3_dlc20_nor_dolgan
