invalid_usage_flag	special_ability
#special_ability_to_invalid_usage_flags_tables;0;db/special_ability_to_invalid_usage_flags_tables/scm_norsca	
flying_currently	hkrul_drenok_breath
on_a_platform	hkrul_drenok_breath
flying_currently	hkrul_einar_steelfist
on_a_platform	hkrul_einar_steelfist
flying_currently	hkrul_kolsvein_spit
climbing	hkrul_sayl_teeth
engaged_in_melee	hkrul_lokjar_skull
climbing	hkrul_sarg_sword
manning_equipment	hkrul_sarg_sword
unit_is_large	wh_main_lord_abilities_blessing_of_the_hound
climbing	wh_main_lord_abilities_blessing_of_the_hound
climbing	ice_wolves_summon
unit_is_large	wh_main_lord_abilities_blessing_of_the_scm_norsca_alfkael
climbing	wh_main_lord_abilities_blessing_of_the_scm_norsca_alfkael
