key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/scm_norsca		
hkrul_ulfric_raiders_enable	hkrul_ulfric_raiders	hkrul_huscarl
hkrul_drenok_frostwyrm_enable	hkrul_drenok_frostwyrm	hkrul_drenok_frostwyrm
rhox_sayl_effect_ability_gorefeast_chosen	wh3_main_unit_passive_gorefeast	chosen_mkho
rhox_sayl_effect_ability_revel_in_slaughter_chosen	wh3_main_lord_passive_revel_in_slaughter	chosen_mkho
rhox_sayl_effect_ability_locus_of_fecundity_chosen	wh3_main_character_abilities_locus_of_fecundity	chosen_mnur
rhox_sayl_effect_ability_cloud_of_flies_chosen	wh3_main_unit_passive_cloud_of_flies	chosen_mnur
rhox_sayl_effect_ability_regen_chosen	wh_main_unit_passive_regeneration	chosen_mnur
rhox_sayl_effect_ability_slime_trail_chosen	wh3_main_unit_passive_slime_trail	chosen_mnur
rhox_sayl_effect_ability_feasting_on_fear_chosen	wh3_main_lord_passive_feasting_on_fear	chosen_msla
rhox_sayl_effect_ability_soulhunters_chosen	wh3_main_unit_passive_soul_hunters	chosen_msla
rhox_sayl_effect_ability_gate_of_tzeentch_chosen	wh3_main_character_abilities_gate_of_tzeentch	chosen_mtze
rhox_sayl_effect_ability_hidden_in_time_chosen	wh3_main_lord_abilities_hidden_in_time	chosen_mtze
hkrul_akkorak_horse_enable	hkrul_akkorak_horse	hkrul_akkorak_horse
hkrul_sarg_riders_enable	hkrul_sarg_riders	hkrul_yusak_horse
hkrul_sarg_marauder_enable	hkrul_sarg_marauder	wh3_dlc20_chs_slaanesh_daemon_units
wolftribe_effect_ability_enable_horrible_regeneration_skin_wolves	wh2_dlc17_unit_passive_horrible_regeneration	dlc08_nor_skin_wolves
