member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/scm_fc_norsca_surthaek_diplo		
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBeastmen	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBeastmen_&_Negative	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBeastmen_&_Positive	ACTOR	wh_dlc03_sc_bst_beastmen
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBretonnia	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBretonnia_&_Negative	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionBretonnia_&_Positive	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionChaos	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionChaos_&_Negative	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionChaos_&_Positive	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionDwarf	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionDwarf_&_Negative	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionDwarf_&_Positive	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionEmpire	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionEmpire_&_Negative	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionEmpire_&_Positive	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionGreenskin	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionGreenskin_&_Negative	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionGreenskin_&_Positive	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionNorsca	ACTOR	wh_dlc08_sc_nor_norsca
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionNorsca_&_Negative	ACTOR	wh_dlc08_sc_nor_norsca
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionNorsca_&_Positive	ACTOR	wh_dlc08_sc_nor_norsca
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionVamp	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionVamp_&_Negative	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionVamp_&_Positive	ACTOR	wh_main_sc_vmp_vampire_counts
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionWoodElves	ACTOR	wh_dlc05_sc_wef_wood_elves
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionWoodElves_&_Negative	ACTOR	wh_dlc05_sc_wef_wood_elves
diplomacy_Subcult_Norsca_&_Faction_SurthaEk_&_OtherFactionWoodElves_&_Positive	ACTOR	wh_dlc05_sc_wef_wood_elves
