member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/rhox_adellia		
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionDarkElves	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionDarkElves_&_Negative	ACTOR	wh2_main_sc_def_dark_elves
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionHighElves	ACTOR	wh2_main_sc_hef_high_elves
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionHighElves_&_Negative	ACTOR	wh2_main_sc_hef_high_elves
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionLizardmen	ACTOR	wh2_main_sc_lzd_lizardmen
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionLizardmen_&_Negative	ACTOR	wh2_main_sc_lzd_lizardmen
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionSkaven	ACTOR	wh2_main_sc_skv_skaven
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionSkaven_&_Negative	ACTOR	wh2_main_sc_skv_skaven
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionTombKings	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
diplomacy_Faction_SupremeSorceress_rhox_skeggi_&_OtherFactionTombKings_&_Negative	ACTOR	wh2_dlc09_sc_tmb_tomb_kings
