member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/rhox_aesling_diplo		
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay_&_Negative	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionCathay_&_Positive	ACTOR	wh3_main_sc_cth_cathay
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs	ACTOR	wh3_dlc23_sc_chd_chaos_dwarfs
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs_&_Negative	ACTOR	wh3_dlc23_sc_chd_chaos_dwarfs
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionChaosDwarfs_&_Positive	ACTOR	wh3_dlc23_sc_chd_chaos_dwarfs
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon_&_Negative	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionDaemon_&_Positive	ACTOR	wh3_main_sc_dae_daemons
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne_&_Negative	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKhorne_&_Positive	ACTOR	wh3_main_sc_kho_khorne
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev_&_Negative	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionKislev_&_Positive	ACTOR	wh3_main_sc_ksl_kislev
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle_&_Negative	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionNurgle_&_Positive	ACTOR	wh3_main_sc_nur_nurgle
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionOgre	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionOgre_&_Negative	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionOgre_&_Positive	ACTOR	wh3_main_sc_ogr_ogre_kingdoms
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionSlaanesh	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionSlaanesh_&_Negative	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionSlaanesh_&_Positive	ACTOR	wh3_main_sc_sla_slaanesh
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionTzeentch	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionTzeentch_&_Negative	ACTOR	wh3_main_sc_tze_tzeentch
diplomacy_FactionGroup_HeraldOfKhorne1_Faction_Aesling_&_OtherFactionTzeentch_&_Positive	ACTOR	wh3_main_sc_tze_tzeentch
