member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/scm_fc_norsca_sayl_diplo		
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs	ACTOR	wh3_dlc23_sc_chd_chaos_dwarfs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Negative	ACTOR	wh3_dlc23_sc_chd_chaos_dwarfs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaosDwarfs_&_Positive	ACTOR	wh3_dlc23_sc_chd_chaos_dwarfs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Negative	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionBretonnia_&_Positive	ACTOR	wh_main_sc_brt_bretonnia
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Negative	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionChaos_&_Positive	ACTOR	wh_main_sc_chs_chaos
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Negative	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionDwarf_&_Positive	ACTOR	wh_main_sc_dwf_dwarfs
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Negative	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionEmpire_&_Positive	ACTOR	wh_main_sc_emp_empire
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin	ACTOR	wh_main_sc_grn_greenskins
diplomacy_Subcult_Norsca_&_FactionSorcLord_&_OtherFactionGreenskin_&_Negative	ACTOR	wh_main_sc_grn_greenskins
