campaign_potential	base_value	random_roll_lower_bound	random_roll_median	random_roll_upper_bound
#faction_potential_categories_tables;0;db/faction_potential_categories_tables/rhox_fc_norsca				
wh2_main_nor_skeggi_ie	125	0	25	50
wh3_dlc20_nor_dolgan_ie	125	0	25	50
wh3_dlc20_nor_kul_ie	125	0	25	50
wh_dlc08_nor_vanaheimlings_ie	125	0	25	50
wh_main_nor_aesling_ie	125	0	25	50
wh_main_nor_baersonling_ie	125	0	25	50
wh_main_nor_bjornling_ie	125	0	25	50
wh_main_nor_graeling_ie	125	0	25	50
wh_main_nor_sarl_ie	125	0	25	50
wh_main_nor_varg_ie	125	0	25	50
mixer_nor_fjordlings	125	0	25	50
mixer_nor_geimdall_huscarls	125	0	25	50
wh_dlc08_nor_naglfarlings_ie	125	0	25	50
