faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/scm_norsca_characters				
	hkrul_adella	hkrul_adella	hkrul_adella	hkrul_adella
	hkrul_adella_mount	hkrul_adella	hkrul_adella	hkrul_adella
	hkrul_soren	hkrul_soren	hkrul_soren	hkrul_soren
	hkrul_akkorak	hkrul_akkorak	hkrul_akkorak	hkrul_akkorak
	hkrul_birna	hkrul_birna	hkrul_birna	hkrul_birna
	hkrul_drenok	hkrul_drenok	hkrul_drenok	hkrul_drenok
	hkrul_einar	hkrul_einar	hkrul_einar	hkrul_einar
	hkrul_harald	hkrul_harald	hkrul_harald	hkrul_harald
	hkrul_sayl	hkrul_sayl	hkrul_sayl	hkrul_sayl
	hkrul_ulfric	hkrul_ulfric	hkrul_ulfric	hkrul_ulfric
	hkrul_ulfric_mammoth	hkrul_ulfric	hkrul_ulfric	hkrul_ulfric
	hkrul_verdandi	hkrul_verdandi	hkrul_verdandi	hkrul_verdandi
	hkrul_kolsveinn	hkrul_kolsveinn	hkrul_kolsveinn	hkrul_kolsveinn
	hkrul_swyrd	hkrul_swyrd	hkrul_swyrd	hkrul_swyrd
	hkrul_lokjar	hkrul_lokjar	hkrul_lokjar	hkrul_lokjar
	hkrul_lokjar_horse	hkrul_lokjar	hkrul_lokjar	hkrul_lokjar
	hkrul_lokjar_chariot	hkrul_lokjar	hkrul_lokjar	hkrul_lokjar
	hkrul_hakka	hkrul_hakka	hkrul_hakka	hkrul_hakka
