faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/scm_norsca_cb_bjornling				
	hkrul_bjornling_inf_marauder_champions_0	hkrul_bjornling_inf_marauder_champions_0	hkrul_bjornling_marauder_champion_0	thm_bjornling_marauder_champion
	hkrul_bjornling_inf_marauder_champions_1	hkrul_bjornling_inf_marauder_champions_1	hkrul_bjornling_marauder_champion_1	thm_bjornling_marauder_champion_gw
	hkrul_bjornling_inf_marauder_hunters_0	hkrul_bjornling_inf_marauder_hunters_0	hkrul_bjornling_marauder_throwing_axe	hkrul_bjornling_marauder_throwing_axe
	hkrul_bjornling_inf_marauder_hunters_1	hkrul_bjornling_inf_marauder_hunters_1	hkrul_bjornling_marauder_javelin	thom_bjornling_marauder_javelin
	hkrul_bjornling_inf_marauder_spearman_0	hkrul_bjornling_inf_marauder_spearman_0	hkrul_bjornling_marauder_spear	thm_bjornling_marauder_spearmen
	hkrul_bjornling_inf_chaos_marauders_0	hkrul_bjornling_inf_chaos_marauders_0	hkrul_bjornling_marauder	thm_bjornling_marauder
	hkrul_bjornling_inf_chaos_marauders_1	hkrul_bjornling_inf_chaos_marauders_1	hkrul_bjornling_marauder_1	thm_bjornling_marauder_great_weapons
	hkrul_bjornling_ogg	hkrul_bjornling_ogg	hkrul_bjornling_ogg	hkrul_bjornling_ogg
	hkrul_ziege	hkrul_ziege	hkrul_ziege	wh_main_emp_captain
	hkrul_baerson_inf_marauder_champions_0	hkrul_baerson_inf_marauder_champions_0	scm_fc_norsca_baersonling_nor_marauder_champion_0	scm_fc_norsca_baersonling_nor_marauder_champion_0
	hkrul_baerson_inf_marauder_champions_1	hkrul_baerson_inf_marauder_champions_1	scm_fc_norsca_baersonling_nor_marauder_champion_1	scm_fc_norsca_baersonling_nor_marauder_champion_1
	hkrul_baerson_inf_marauder_hunters_0	hkrul_baerson_inf_marauder_hunters_0	scm_fc_norsca_baersonling_nor_marauder_throwing_axe	scm_fc_norsca_baersonling_nor_marauder_throwing_axe
	hkrul_baerson_inf_marauder_hunters_1	hkrul_baerson_inf_marauder_hunters_1	scm_fc_norsca_baersonling_nor_marauder_javelins	scm_fc_norsca_baersonling_nor_marauder_javelins
	hkrul_baerson_inf_marauder_spearman_0	hkrul_baerson_inf_marauder_spearman_0	scm_fc_norsca_baersonling_nor_marauder_spear	scm_fc_norsca_baersonling_nor_marauder_spear
	hkrul_baerson_inf_chaos_marauders_0	hkrul_baerson_inf_chaos_marauders_0	scm_fc_norsca_baersonling_nor_marauder	scm_fc_norsca_baersonling_nor_marauder
	hkrul_baerson_inf_chaos_marauders_1	hkrul_baerson_inf_chaos_marauders_1	scm_fc_norsca_baersonling_nor_marauder_great_weapons	scm_fc_norsca_baersonling_nor_marauder_great_weapons
