key	animation	entity	audio_armour_type	variant	voiceover
#mounts_tables;10;db/mounts_tables/scm_norsca					
rhox_adella_mnt_adella_horse	hr1_warhorse	wh2_main_def_cavalry_fast_170_blood_hero	plate	rhox_adella_mnt_adella_horse	wh_main_vo_culture_Skeletal_horse
hkrul_ulfric_mammoth	hq3_mammoth	wh_dlc08_nor_mon_mammoth_howdah_blood	body	hkrul_ulfric_mammoth	vo_culture_Invalid
rhox_einar_bear	be1_wh3_warbear	wh3_main_ksl_cav_war_bear_hero	plate	rhox_einar_mnt_war_bear	wh_main_vo_culture_Kislev
rhox_drenok_bear	be1_wh3_warbear	wh3_main_ksl_cav_war_bear_hero	plate	rhox_drenok_mnt_war_bear	wh_main_vo_culture_Kislev
kurg_akkorak_horse	hr1_wh3_dlc20_large_generic_lord_heavy_horse	wh3_dlc20_chs_mnt_chaos_steed_mnur_lords	plate	hkrul_akkorak_horse	wh_main_vo_culture_Horse
rhox_adella_mnt_adella_horse_draught	hr1_warhorse_draught	wh2_main_def_cavalry_fast_170_blood_hero	plate	rhox_adella_mnt_adella_horse	wh_main_vo_culture_Skeletal_horse
wh_mod_nor_mnt_horse_medium_oda	hr1_warhorse	wh3_main_ksl_mnt_barded_horse_hero	leather	wh3_dlc20_chs_norscan_warhorse	wh_main_vo_culture_Horse
wh_mod_nor_mnt_manticore_oda	bc3_manticore	wh_mod_mnt_flying_manticore_oda_blood	body	oda_manticore	wh_main_vo_culture_Manticore
wh_mod_mnt_surtha_ek_chariot_warhorse	hr1_warhorse_draught	wh_mod_nor_mnt_scythed_chariot_steed	plate	medusa_surtha_ek_warhorse_chariot	wh_main_vo_culture_Horse
gjalfr	giant_icewolf	wolftribe_giant_ice_wolf	leather	gjalfr	wh_main_vo_culture_Wolf
wh_mod_nor_mnt_varg_mammoth_tower	hq3_mammoth_draught	wh_mod_nor_mnt_mammoth_draught_tower	leather	wh_mod_nor_war_mammoth_draught	vo_culture_Invalid
wh_mod_chs_mnt_norscan_warhorse_war_wagons	hr1_warhorse_draught	wh_mod_nor_mnt_chaos_steed_war_wagon	leather	wh_mod_chs_norscan_warhorse_war_wagon	wh_main_vo_culture_Horse
kysaro_adella_stegadon	hq1_stegadon	wh2_main_lzd_mon_ancient_stegadon_platform	body	kysaro_adella_stegadon	wh2_main_vo_culture_Lizardmen
wh_mod_nor_mnt_cold_one_def	rp3_cold_one	wh2_main_def_cavalry_cold_one_blood	body	wh_mod_nor_cold_one_def	wh2_main_vo_culture_Cold_One
wh_mod_nor_mnt_cold_one_lzd	rp3_cold_one	wh2_main_lzd_cavalry_cold_one_blood	body	wh_mod_nor_cold_one_lzd	wh2_main_vo_culture_Cold_One
hkrul_yngve_mnt_yngve_horse	hr1_warhorse	wh3_dlc20_chs_mnt_norscan_warhorse_lords	plate	wh3_dlc20_chs_norscan_warhorse_lord	wh_main_vo_culture_Horse
