ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/hkrul_alfkael	
wh3_main_unit_passive_single_entity	scm_norsca_alfkael
wh_dlc08_lord_passive_rage	scm_norsca_alfkael
wh_main_character_passive_evasion	scm_norsca_alfkael
wh3_main_unit_passive_single_entity	scm_norsca_alfkael_wolf
wh_main_unit_passive_regeneration	scm_norsca_alfkael_wolf
wh_main_unit_passive_frenzy	scm_norsca_alfkael_wolf
wh3_dlc20_unit_passive_giver_of_glory	rhox_alfkael_warshrine
wh3_main_unit_passive_single_entity	rhox_alfkael_warshrine
wh_dlc08_unit_passive_favour_of_the_ruinous_powers	rhox_alfkael_warshrine
wh_main_character_passive_evasion	rhox_alfkael_warshrine
wh_dlc08_lord_passive_rage	rhox_alfkael_warshrine
