ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/scm_norsca_elite	
wh_dlc08_unit_passive_rage	rhox_graeling_champion
wh_dlc08_unit_passive_rage	rhox_kurgan_champion
wh_dlc08_unit_passive_rage	rhox_baersonling_champion
wh_dlc08_unit_passive_rage	rhox_kurgan_javelin
wh_dlc08_unit_passive_rage	rhox_kurgan_spearman
wh_dlc08_unit_passive_berserk	rhox_aesling_berserker
wh_main_unit_passive_frenzy	rhox_aesling_berserker
wh_dlc08_unit_passive_rage	rhox_skeggi_champion
wh_dlc08_unit_passive_rage	rhox_drenok_marauder
wh_dlc08_unit_passive_rage	rhox_wolftribe_marauder
