building_chain	settlement_type	exclude
#settlement_type_to_building_chains_junctions_tables;1;db/settlement_type_to_building_chains_junctions_tables/scm_totn_landmark		
wolftribe_greathall	wh3_dlc27_norsca_core_settlement	false
wolftribe_humbled_hall	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_hafskael_yard	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_harald_throne	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_kai_delta_swamp	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_valmir_aesling	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_great_gathering	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_ruins_of_vinnskor	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_sargath_tent	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_chaos_iceberg	wh3_dlc27_norsca_core_settlement	false
rhox_fc_norsca_corrupted_khemri	wh3_dlc27_norsca_core_settlement	false
hkrul_norsca_duel_circle	wh3_dlc27_norsca_core_settlement	false
hkrul_norsca_snaegr_hall	wh3_dlc27_norsca_core_settlement	false
hkrul_norsca_mermedus_temple	wh3_dlc27_norsca_core_settlement	false
hkrul_norsca_erik_tomb	wh3_dlc27_norsca_core_settlement	false
hkrul_norsca_barrows	wh3_dlc27_norsca_core_settlement	false
rhox_beorg_halls_of_urslo	wh3_dlc27_norsca_core_settlement	false
rhox_bjornling_creatures	wh3_dlc27_norsca_core_settlement	false
rhox_adella_dae_temple_kho	wh3_dlc27_norsca_core_settlement	false
rhox_adella_dae_temple_nur	wh3_dlc27_norsca_core_settlement	false
rhox_adella_dae_temple_sla	wh3_dlc27_norsca_core_settlement	false
rhox_adella_dae_temple_tze	wh3_dlc27_norsca_core_settlement	false
rhox_adella_dae_temple_kho	wh3_dlc27_norsca_altars_kho	false
rhox_adella_dae_temple_nur	wh3_dlc27_norsca_altars_nur	false
rhox_adella_dae_temple_sla	wh3_dlc27_norsca_altars_sla	false
rhox_adella_dae_temple_tze	wh3_dlc27_norsca_altars_tze	false
