key	network	position_x	position_y	template
#teleportation_network_nodes_tables;0;db/teleportation_network_nodes_tables/rhox_fc_norsca				
rhox_fc_norsca_dark_fortress_teleport_wh3_dlc20_nor_dolgan_1	rhox_fc_norsca_dark_fortress	1015	730	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh3_dlc20_nor_dolgan_1	rhox_fc_norsca_dark_fortress_iee	1015	730	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh3_dlc20_nor_dolgan_2	rhox_fc_norsca_dark_fortress	1102	715	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh3_dlc20_nor_dolgan_2	rhox_fc_norsca_dark_fortress_iee	1102	715	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh3_dlc20_nor_kul_1	rhox_fc_norsca_dark_fortress	916	879	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh3_dlc20_nor_kul_1	rhox_fc_norsca_dark_fortress_iee	916	879	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh3_dlc20_nor_kul_2	rhox_fc_norsca_dark_fortress	990	835	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh3_dlc20_nor_kul_2	rhox_fc_norsca_dark_fortress_iee	990	835	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh3_dlc20_nor_kul_3	rhox_fc_norsca_dark_fortress	877	763	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh3_dlc20_nor_kul_3	rhox_fc_norsca_dark_fortress_iee	877	763	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh_dlc08_nor_vanaheimlings_1	rhox_fc_norsca_dark_fortress	358	722	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh_dlc08_nor_vanaheimlings_1	rhox_fc_norsca_dark_fortress_iee	358	722	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh_dlc08_nor_vanaheimlings_2	rhox_fc_norsca_dark_fortress	460	804	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh_dlc08_nor_vanaheimlings_2	rhox_fc_norsca_dark_fortress_iee	460	804	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh_main_nor_varg_1	rhox_fc_norsca_dark_fortress	463	866	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh_main_nor_varg_1	rhox_fc_norsca_dark_fortress_iee	463	866	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_wh_main_nor_varg_2	rhox_fc_norsca_dark_fortress	614	853	rhox_fc_norsca_teleport_template
rhox_fc_norsca_dark_fortress_teleport_iee_wh_main_nor_varg_2	rhox_fc_norsca_dark_fortress_iee	614	853	rhox_fc_norsca_teleport_template
