key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
#factions_tables;6;db/factions_tables/rhox_fc_norsca																																												
wh2_main_nor_skeggi	2041771529	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh2_main_nor_skeggi	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_ASHIKAGA	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_skeggi	all	false	96962D	808080	808080	CCA500	254975	CCA500	CCA500	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	CCA500	000000	000000	000000	000000	000000	000000	000000
wh3_dlc20_nor_dolgan	977178089	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh3_dlc20_nor_dolgan	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	AC8555	4F4F95	010101	AC8555	4F4F95	AC8555	AC8555	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	437162	000000	000000	000000	000000	000000	000000	060606
wh3_dlc20_nor_kul	426874985	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh3_dlc20_nor_kul	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_kul	all	false	63484D	C2A668	010101	594145	F6F6F6	000000	63484D	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	946B32	000000	000000	000000	000000	000000	000000	060606
wh_dlc08_nor_vanaheimlings	820299723	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh_dlc08_nor_vanaheimlings	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	9DCFE8	618DB3	010101	9DCFE8	989491	000000	D5E6EF	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	C6B529	000000	000000	000000	000000	000000	000000	000000
wh_main_nor_aesling	2041770618	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh_main_nor_aesling	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_aesling	all	false	644141	665B39	010101	644141	F3F3F3	644141	644141	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	644141	000000	000000	000000	000000	000000	000000	000000
wh_main_nor_baersonling	2041770626	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh_main_nor_baersonling	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_baersonling	all	false	665B39	665B39	010101	665B39	F3F3F3	665B39	665B39	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	665B39	000000	000000	000000	000000	000000	000000	000000
wh_main_nor_bjornling	2041770627	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh_main_nor_bjornling	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_bjornling	all	false	684C56	665B39	010101	684C56	F3F3F3	684C56	684C56	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	684C56	000000	000000	000000	000000	000000	000000	000000
wh_main_nor_graeling	2041770634	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh_main_nor_graeling	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	437162	665B39	010101	437162	F3F3F3	437162	437162	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	437162	000000	000000	000000	000000	000000	000000	000000
wh_main_nor_sarl	2041770639	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui\flags\wh_main_nor_sarl	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	75868B	665B39	010101	75868B	F3F3F3	75868B	75868B	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	75868B	000000	000000	000000	000000	000000	000000	000000
