key	index	subculture	category	name_group	skin	ui_skin	is_rebel	flags_path	military_group	movie_death_event	unit_regiment_name_group	ship_name_group	pre_battle_speech_parameter	audio_voiceover_culture	mp_force_gen_template	faction_swapping_id	win_movie	waaagh_faction	waaagh_general_unit	is_quest_faction	cdir_military_generator_config	feature_forest	default_audio_actor_vo_group	text_replacement_key	neutral_reinforcement_factions	can_accept_gifts_when_dead	uniform_colour_primary	uniform_colour_secondary	uniform_colour_tertiary	banner_colour_primary	banner_colour_secondary	banner_colour_tertiary	primary_colour	override_target_unit_vo_culture	music_feedback_group	ui_main_theme_skin	primary_colour_hex	alt_primary_colour_hex	secondary_colour_hex	alt_secondary_colour_hex	rebel_colour_hex	uniform_colour_hex	alt_uniform_colour_hex	card_colour_hex
#factions_tables;6;db/factions_tables/zzz_rhox_fc_norsca_compat																																												
cr_chs_the_scourgeborn	932459690	wh_main_sc_chs_chaos		names_chs_chaos	wh_main_chs_chaos	wh3_dlc20_chs_chaos	false	ui/flags/cr_chs_the_scourgeborn	wh_main_group_chaos	0	names_chs_chaos	names_chs_chaos	FACTION_ODA	wh_main_vo_culture_Chaos	wh_mp_force_gen_chaos	emp				false	WH_Chaos	LOCKED_STANDARD	wh_main_vo_actor_Chaos_Lord		all	false	A3581B	AFB457	505050	A3581B	AFB457	505050	A3581B	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	A3581B	000000	000000	000000	000000	000000	000000	000000
cr_kho_servants_of_the_blood_nagas	1763841523	wh3_main_sc_kho_khorne		names_kho_khorne	wh3_main_kho_khorne	wh3_dae_main_kho_khorne	false	ui/flags/rhox_cc_kho_servants_of_the_blood_nagas	wh3_main_kho	0	names_kho_khorne	names_kho_khorne	FACTION_ODA	wh_main_vo_culture_Chaos	wh_mp_force_gen_khorne	kho				false	WH_Khorne	LOCKED_STANDARD	wh_main_vo_actor_Chaos_Lord	hkrul_arbaal	all	false	D58704	0A0707	4A2813	D58704	0A0707	4A2813	D58704	true	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	2FAB1C	000000	000000	000000	000000	000000	000000	000000
cr_nor_tokmars	1115509244	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/cr_nor_tokmars	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	wh_mp_force_gen_norsca	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_Lord		all	false	61363C	80A299	4A4A4A	61363C	80A299	4A4A4A	61363C	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_caledor_sky	000000	000000	000000	000000	000000	000000	000000	060606
cr_nur_tide_of_pestilence	791742201	wh3_main_sc_nur_nurgle		names_nur_nurgle	wh3_main_nur_nurgle	wh3_dae_main_nur_nurgle	false	ui/flags/cr_nur_tide_of_pestilence	wh3_main_nur	0	names_nur_nurgle	names_nur_nurgle	FACTION_ODA	wh3_main_vo_culture_Nurgle	wh_mp_force_gen_nurgle	nur				false	WH_Nurgle	LOCKED_STANDARD	wh3_main_vo_actor_Nurgle_Great_Unclean_One_Unit		all	false	AF2D2F	AF8E2C	578B36	AF2D2F	AF8E2C	578B36	AF2D2F	true	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow	000000	000000	000000	000000	000000	000000	000000	000000
rhox_kho_destroyers_of_khorne	173921463	wh3_main_sc_kho_khorne		names_kho_khorne	wh3_main_kho_khorne	wh3_dae_main_kho_khorne	false	ui/flags/rhox_cc_destroyers_of_khorne	wh3_main_kho	0	names_kho_khorne	names_kho_khorne	FACTION_ODA	wh3_main_vo_culture_Khorne	wh_mp_force_gen_khorne	kho				false	WH_Khorne	LOCKED_STANDARD	wh3_main_vo_actor_Khorne_Cultist_Of_Khorne		all	false	23201F	DDAB1A	803925	23201F	DDAB1A	803925	23201F	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	000000
rhox_nor_firebrand_slavers	1936724290	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/rhox_cc_nor_firebrand_slavers	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	emp				false	WH_Norsca	LOCKED_HORDE	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_valbrand	all	false	501F21	FFFFFF	8C5456	501F21	FFFFFF	8C5456	501F21	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	060606
rhox_nor_ravenblessed	782442724	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/rhox_cc_nor_ravenblessed	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain	rhox_volrik	all	false	4B83A7	D5DFE1	233854	4B83A7	D5DFE1	233854	4B83A7	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_warpstone_glow	010101	000000	000000	000000	000000	000000	000000	060606
rhox_nor_khazags	1729885520	wh_dlc08_sc_nor_norsca		names_nor_norsca	wh_dlc08_nor_norsca	wh_dlc08_nor_norsca	false	ui/flags/rhox_cc_nor_khazags	wh_main_group_norsca	0	names_nor_norsca	names_nor_norsca	FACTION_CHOSOKABE	wh_main_vo_culture_Chaos	default	emp				false	WH_Norsca	LOCKED_STANDARD	wh_main_vo_actor_Chaos_MarauderChieftain		all	false	D3CBBF	4A170F	010101	D3CBBF	4A170F	000000	D3CBBF	false	Feedback_Alignment_Evil_Faction	wh3_main_theme_khorne_red	010101	000000	000000	000000	000000	000000	000000	060606
rhox_brt_reveller_of_domance	1400034602	wh_main_sc_brt_bretonnia		names_brt_bretonnia	wh_main_brt_bretonnia	wh_main_brt_bretonnia	false	ui/flags/rhox_cc_reveller_of_domance	wh_main_group_bretonnia	0	names_brt_bretonnia	names_brt_bretonnia	FACTION_ASHIKAGA	wh_main_vo_culture_Bretonnian	default	brt				false	WH_Bretonnia	LOCKED_STANDARD	wh_main_vo_actor_Bretonnian_Lord	rhox_dolmance	all	false	C74E63	444C44	E37394	444C44	C74E63	E37394	C74E63	false	Feedback_Alignment_Neutral_Faction	wh3_main_theme_caledor_sky	010101	000000	000000	000000	000000	000000	000000	000000
