decision_item	decision_policy	query	query_variable_set	query_invert_result	query_weight
#cai_decision_policy_junctions_tables;0;db/cai_decision_policy_junctions_tables/rhox_fc_norsca					
rhox_baersonling_chaos_lord_tzeentch_from_marauder_chieftain	rhox_baersonling_character_initiatives	always_true		false	1.0000
rhox_baersonling_daemon_prince_tzeentch_from_chaos_lord_tzeentch	rhox_baersonling_character_initiatives	always_true		false	1.0000
rhox_sarg_faction_initiative_chs_undivided_1_army_marauders	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_undivided_1_economy_building	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_undivided_2_army_upgrades	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_undivided_2_xp_sharing	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_undivided_3_army_elites	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_undivided_3_units_hellcannons	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_undivided_3_units_warshrine	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_1_army_movement	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_1_economy_control	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_1_units_daemonettes	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_1_units_seeker_chariots	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_2_army_upgrades	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_3_units_fiends	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_3_units_warshrine	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_5_units_keeper_of_secrets	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
rhox_sarg_faction_initiative_chs_slaanesh_5_units_soul_grinder	rhox_fc_norsca_additional_initiatives	always_true		false	20.0000
