id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/wolftribe_heroes				
66855917	wolftribe_nor_scm_norsca_asta	GEN_TARGET_REGION		default
66855918	wolftribe_nor_scm_norsca_asta	GEN_CND_REGION	wh3_main_combi_region_bordeleaux	default
66855919	wolftribe_nor_scm_norsca_asta	VAR_MISSION_LENGTH_INFINITE		default
66855920	wolftribe_nor_scm_norsca_asta	VAR_FOLLOWUP_CHANCE	100	default
66855921	wolftribe_nor_scm_norsca_asta	VAR_CHANCE	100	default
66855922	wolftribe_nor_hidolfr	GEN_TARGET_REGION		default
66855923	wolftribe_nor_hidolfr	GEN_CND_REGION	wh3_main_combi_region_serpent_jetty	default
66855924	wolftribe_nor_hidolfr	VAR_MISSION_LENGTH_INFINITE		default
66855925	wolftribe_nor_hidolfr	VAR_FOLLOWUP_CHANCE	100	default
66855926	wolftribe_nor_hidolfr	VAR_CHANCE	100	default
66855927	wolftribe_nor_scm_norsca_asta_tow	GEN_TARGET_REGION		default
66855928	wolftribe_nor_scm_norsca_asta_tow	GEN_CND_REGION	cr_oldworld_region_merton	default
66855929	wolftribe_nor_scm_norsca_asta_tow	VAR_MISSION_LENGTH_INFINITE		default
66855930	wolftribe_nor_scm_norsca_asta_tow	VAR_FOLLOWUP_CHANCE	100	default
66855931	wolftribe_nor_scm_norsca_asta_tow	VAR_CHANCE	100	default
66855932	wolftribe_nor_hidolfr_tow	GEN_TARGET_REGION		default
66855933	wolftribe_nor_hidolfr_tow	GEN_CND_REGION	cr_oldworld_region_horvenghaast	default
66855934	wolftribe_nor_hidolfr_tow	VAR_MISSION_LENGTH_INFINITE		default
66855935	wolftribe_nor_hidolfr_tow	VAR_FOLLOWUP_CHANCE	100	default
66855936	wolftribe_nor_hidolfr_tow	VAR_CHANCE	100	default
