id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/rhox_baersonling				
1651424571	rhox_baersonling_chain_2	VAR_OBJECTIVE_AMOUNT_INT	5	default
1651424572	rhox_baersonling_chain_2	GEN_TARGET_CHARACTER		default
1651424573	rhox_baersonling_chain_2	GEN_CND_AGENT_SUBTYPE	hkrul_einar	default
1651424574	rhox_baersonling_chain_2	VAR_CHANCE	100	default
1651424575	rhox_baersonling_chain_2	VAR_MISSION_LENGTH_INFINITE		default
1651424576	rhox_baersonling_chain_4	VAR_MISSION_LENGTH_INFINITE		default
1651424577	rhox_baersonling_chain_4	GEN_TARGET_NONE		default
1651424578	rhox_baersonling_chain_4	VAR_CHANCE	100	default
1651424579	rhox_baersonling_chain_4	VAR_OBJECTIVE_AGENT	champion	default
1651424580	rhox_baersonling_chain_4	VAR_FOLLOWUP_CHANCE	100	default
1651424582	rhox_baersonling_chain_4b	VAR_MISSION_LENGTH_INFINITE		default
1651424583	rhox_baersonling_chain_4b	GEN_TARGET_NONE		default
1651424584	rhox_baersonling_chain_4b	VAR_CHANCE	100	default
1651424585	rhox_baersonling_chain_4b	VAR_OBJECTIVE_AGENT	wizard	default
1651424586	rhox_baersonling_chain_4b	VAR_FOLLOWUP_CHANCE	100	default
1651424587	rhox_baersonling_chain_5	GEN_CND_ALLOW_REBELS		default
1651424588	rhox_baersonling_chain_5	VAR_MISSION_LENGTH_INFINITE		default
1651424589	rhox_baersonling_chain_5	GEN_TARGET_REGION		default
1651424590	rhox_baersonling_chain_5	VAR_CHANCE	100	default
1651424591	rhox_baersonling_chain_5	GEN_CND_REGION	wh3_main_combi_region_monolith_of_bubonicus	default
