hint	key
#character_skill_utilization_hints_junctions_tables;0;db/character_skill_utilization_hints_junctions_tables/ab_wolftribe	
USEFUL_ALWAYS	packlord_main_skill_boons_of_the_gods_1
USEFUL_ALWAYS	scm_norsca_huern_unique_leader_of_the_pack
USEFUL_ALWAYS	scm_norsca_huern_regeneration
USEFUL_ALWAYS	wolftribe_skill_unique_blood_berserker
USEFUL_ALWAYS	wolftribe_skill_self_tribal_giant
USEFUL_ALWAYS	wolftribe_skill_self_berserker_champion
USEFUL_ALWAYS	wolftribe_skill_self_blessing_of_the_beast
USEFUL_ALWAYS	wolftribe_skill_self_jarl_slayer
USEFUL_ALWAYS	wolftribe_skill_self_contest_of_skill
USEFUL_ALWAYS	wolftribe_skill_self_blood_brother
USEFUL_ALWAYS	wolftribe_skill_self_healers_touch
USEFUL_ALWAYS	wolftribe_skill_self_hunters_traps
USEFUL_ALWAYS	wolftribe_skill_self_fierce_beauty
USEFUL_ALWAYS	wolftribe_skill_self_keen_minded_ruler
USEFUL_ALWAYS	wolftribe_skill_self_scm_norsca_asta_honorguard
USEFUL_ALWAYS	wolftribe_skill_self_chieftess_of_wolves
USEFUL_ALWAYS	wolftribe_skill_scm_norsca_asta_mount_gjalfr
USEFUL_ALWAYS	wh_main_skill_emp_champion_unique_hold_the_line
USEFUL_ALWAYS	wolftribe_skill_unique_vengeful_daughter
USEFUL_ALWAYS	wolftribe_skill_unique_resourceful_huntress
USEFUL_ALWAYS	wh_main_skill_chs_all_unique_aura_of_chaos
USEFUL_ALWAYS	wolftribe_skill_unique_scm_norsca_asta_of_the_wood
USEFUL_ALWAYS	wh3_main_skill_all_mentor_hero
USEFUL_ALWAYS	wolftribe_skill_unique_wisdom
USEFUL_ALWAYS	wolftribe_skill_self_wise_one
USEFUL_ALWAYS	wolftribe_skill_self_songs_sagas
USEFUL_ALWAYS	wolftribe_skill_self_mead
USEFUL_ALWAYS	wolftribe_skill_self_wind_walker
USEFUL_ALWAYS	wolftribe_skill_self_frost_father
USEFUL_ALWAYS	wolftribe_skill_self_honored_forefather
