ancillary	agent
#ancillary_to_included_agents_tables;0;db/ancillary_to_included_agents_tables/scm_norsca_fish	
hkrul_norsca_fish_01	general
hkrul_norsca_fish_02	general
hkrul_norsca_fish_03	general
hkrul_norsca_fish_04	general
hkrul_norsca_fish_05	general
hkrul_norsca_fish_06	general
hkrul_norsca_fish_07	general
hkrul_norsca_fish_08	general
hkrul_norsca_fish_09	general
hkrul_norsca_fish_10	general
hkrul_norsca_fish_11	general
hkrul_norsca_fish_12	general
hkrul_norsca_fish_13	general
hkrul_norsca_fish_14	general
