agent_subtype	ancillary
#ancillaries_included_agent_subtypes_tables;0;db/ancillaries_included_agent_subtypes_tables/scm_norsca	
hkrul_adella	hkrul_adella_mount
hkrul_adella	hkrul_adella_sword
hkrul_akkorak	hkrul_akkorak_spear
hkrul_birna	hkrul_birna_bow
hkrul_birna	hkrul_birna_sword
hkrul_drenok	hkrul_drenok_axe
hkrul_einar	hkrul_einar_sword
hkrul_harald	hkrul_harald_sword
hkrul_lokjar	hkrul_lokjar_gorger
hkrul_lokjar	hkrul_lokjar_amulet
hkrul_lokjar	hkrul_lokjar_horse
hkrul_lokjar	hkrul_lokjar_chariot
hkrul_sayl	hkrul_sayl_staff
hkrul_sayl	hkrul_sayl_teeth
hkrul_ulfric	hkrul_ulfric_mammoth
hkrul_hakka	hkrul_hakka_axe
