bonus_value_id	effect_key	battle_context_key
#effect_bonus_value_battle_context_junctions_tables;0;db/effect_bonus_value_battle_context_junctions_tables/hkrul_scm_norsca_anc		
post_battle_loot_mod	hkrul_norsca_post_battle_sea	fighting_ground_type_sea
xp_gain_rate_mod	hkrul_norsca_xp_gain_sea	fighting_ground_type_sea
melee_defence_mod	hkrul_norsca_md_sea	fighting_ground_type_sea
missile_damage_mod_mult	hkrul_norsca_missile_mod_sea	fighting_ground_type_sea
post_battle_ancillary_steal_chance_mod	hkrul_norsca_post_steal_mod_sea	fighting_ground_type_sea
morale	hkrul_norsca_morale_siege_theirs	fighting_force_status_theirs_besieging
melee_defence_mod	hkrul_norsca_md_siege_theirs	fighting_force_status_theirs_besieging
unit_damage_resistance_physical_mod	hkrul_norsca_phys_res_norsca	fighting_culture_norsca
melee_damage_mod_mult	hkrul_norsca_melee_damage_norsca	fighting_culture_norsca
