army_name	unit_name	script_name	number_of_unit
#battle_set_piece_armies_units_junctions_tables;0;db/battle_set_piece_armies_units_junctions_tables/hkrul_norsca_qb_olaf			
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_cav_demigryph_knights_0_tier_4	ziege	1
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_inf_halberdiers_rank_9_tier_3	ziege	2
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_inf_swordsmen_tier_1	ziege	5
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_inf_crossbowmen_tier_2	ziege	3
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_inf_handgunners_tier_3	ziege	2
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_inf_spearmen_1_tier_2	ziege	2
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh_main_emp_veh_luminark_of_hysh_0_tier_5	ziege	1
hkrul_bloodtide_olaf_spear_final_battle_defender_1	wh3_dlc25_emp_inf_greatswords_tier_6	ziege	1
hkrul_bloodtide_olaf_spear_final_battle_defender_2	wh_dlc04_emp_inf_free_company_militia_0_tier_5	erich	3
hkrul_bloodtide_olaf_spear_final_battle_defender_2	wh_main_emp_art_great_cannon_rank_6_tier_3	erich	2
hkrul_bloodtide_olaf_spear_final_battle_defender_2	hkrul_nordland_inf_halberdier_ror	erich	2
hkrul_bloodtide_olaf_spear_final_battle_defender_2	wh_main_emp_cav_empire_knights_rank_6_tier_3	erich	2
hkrul_bloodtide_olaf_spear_final_battle_defender_2	wh_main_emp_inf_swordsmen_rank_4_tier_1	erich	2
hkrul_bloodtide_olaf_spear_final_battle_defender_2	wh2_dlc13_emp_inf_archers_0	erich	4
hkrul_bloodtide_olaf_spear_final_battle_defender_3	wh_main_emp_art_great_cannon_rank_6_tier_3	side	2
hkrul_bloodtide_olaf_spear_final_battle_defender_3	wh_main_emp_art_helstorm_rocket_battery_tier_4	side	1
hkrul_bloodtide_olaf_spear_final_battle_defender_3	wh_main_emp_art_helstorm_rocket_battery_tier_4	side_2	1
hkrul_bloodtide_olaf_spear_final_battle_defender_3	wh_main_emp_inf_greatswords_tier_3	side_2	1
hkrul_bloodtide_olaf_spear_final_battle_defender_3	wh_main_emp_inf_swordsmen_tier_1	side	4
hkrul_bloodtide_olaf_spear_final_battle_defender_5	wh2_dlc13_emp_cav_empire_knights_ror_1_rank_4	back_1	1
hkrul_bloodtide_olaf_spear_final_battle_defender_5	wh_main_emp_cav_empire_knights_rank_6_tier_3	back_2	2
hkrul_bloodtide_olaf_spear_final_battle_defender_5	wh_dlc04_emp_cav_knights_blazing_sun_tier_4	back_2	1
hkrul_bloodtide_olaf_spear_final_battle_player_ally_cav	hkrul_bloodtide_cav_marauder_horsemen_0_1	nor_ally_cav	2
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_bloodtide_inf_chaos_marauders_0_1	nor_ally	2
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_bloodtide_inf_marauder_champions_1_1	nor_ally	1
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_norscan_giant_5	nor_ally	1
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_bloodtide_inf_marauder_spearman_0_1	nor_ally	2
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_norscan_feral_mammoth_3	nor_ally	1
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_bloodtide_inf_marauder_berserker_ror	nor_ally	1
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_bloodtide_inf_marauder_champions_0_1	nor_ally	1
hkrul_bloodtide_olaf_spear_final_battle_player_ally	hkrul_bloodtide_cav_marauder_horsemen_0_1	nor_ally	1
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_cav_marauder_horsemen_0_1		2
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_inf_marauder_champions_2_0		1
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_inf_marauder_berserker_ror		1
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_inf_chaos_marauders_1_1		1
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_inf_marauder_champions_2_1		2
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_inf_marauder_champions_1_1		2
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_bloodtide_mammoth_bloodfjord_ror		1
hkrul_bloodtide_olaf_spear_final_battle_player	scm_fc_norsca_bloodfjord_nor_marauder_javelins_1		2
hkrul_bloodtide_olaf_spear_final_battle_player	scm_fc_norsca_bloodfjord_nor_marauder_spear_1		2
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_norscan_giant_5		1
hkrul_bloodtide_olaf_spear_final_battle_player	hkrul_norscan_mammoth_ror		1
