faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/scm_norsca										
wh_dlc08_nor_vanaheimlings	false	dead_drenok_ice_golem	true	true				true		false
wh_dlc08_nor_vanaheimlings	false	dead_drenok_ice_bears	true	true				true		false
wh_dlc08_nor_vanaheimlings	false	dead_drenok_greater_ice_golem	true	true				true		false
wh_main_nor_graeling	false	rhox_graeling_werekin_of_fijgard	true	true				true		false
wh_dlc08_nor_norsca	false	wolftribe_nor_inf_wolf_champions_ror_0	true	true				true		false
wh2_main_nor_skeggi	false	hkrul_skeggi_giant_ror	true	true				true		false
wh_main_nor_bjornling	false	rhox_bjornling_huscarl	true	true				true		false
wh_main_nor_bjornling	false	rhox_bjornling_huscarl_ror	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_kho_bastiladon	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_nur_bastiladon	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_sla_bastiladon	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_tze_bastiladon	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_kho_carnosaur	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_nur_stegadon	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_sla_troglodon	true	true				true		false
wh2_main_nor_skeggi	false	r1kko_adella_tze_coatl	true	true				true		false
wh2_main_nor_skeggi	false	rhox_skeggi_dodvakt	true	true				true		false
wh_main_nor_sarl	false	hkrul_sarl_hunters	true	true				true		false
wh_main_nor_sarl	false	hkrul_sarl_hunters_ror	true	true				true		false
