faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/hkrul_adella										
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_marauder_berserkers_0	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_marauder_champions_0	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_marauder_champions_1	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_marauder_hunters_1	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_marauder_spearman_0	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_giant	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_giant_ror	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_chaos_marauders_0	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_chaos_marauders_1	true	true				false		false
wh2_main_nor_skeggi	false	hkrul_skeggi_inf_marauder_hunters_0	true	true				false		false
