faction	general_unit	unit	siege_unit_attacker	siege_unit_defender	general_portrait	general_uniform	set_piece_character	campaign_exclusive	armory_item_set	supports_upgrades
#units_custom_battle_permissions_tables;11;db/units_custom_battle_permissions_tables/scm_norsca_characters										
wh2_main_nor_skeggi	true	hkrul_adella	true	true	ui/portraits/portholes/no_culture/hkrul_adella.png	hkrul_adella	hkrul_adella	false		false
wh2_main_nor_skeggi	true	hkrul_adella_mount	true	true	ui/portraits/portholes/no_culture/hkrul_adella.png	hkrul_adella	hkrul_adella	false		false
wh2_main_nor_skeggi	false	hkrul_soren	true	true	ui/portraits/portholes/no_culture/hkrul_soren.png	hkrul_soren	hkrul_soren	false		false
wh_dlc08_nor_norsca	true	hkrul_akkorak	true	true	ui/portraits/portholes/no_culture/hkrul_akkorak.png	hkrul_akkorak	hkrul_akkorak	true		false
wh_dlc08_nor_norsca	true	hkrul_birna	true	true	ui/portraits/portholes/no_culture/hkrul_birna.png	hkrul_birna	hkrul_birna	true		false
wh_dlc08_nor_norsca	true	hkrul_drenok	true	true	ui/portraits/portholes/no_culture/hkrul_drenok.png	hkrul_drenok	hkrul_drenok	true		false
wh_dlc08_nor_norsca	true	hkrul_einar	true	true	ui/portraits/portholes/no_culture/hkrul_einar.png	hkrul_einar	hkrul_einar	true		false
wh_dlc08_nor_norsca	true	hkrul_harald	true	true	ui/portraits/portholes/no_culture/hkrul_harald.png	hkrul_harald	hkrul_harald	true		false
wh_dlc08_nor_norsca	true	hkrul_sayl	true	true	ui/portraits/portholes/no_culture/hkrul_sayl.png	hkrul_sayl	hkrul_sayl	true		false
wh_dlc08_nor_norsca	true	hkrul_ulfric	true	true	ui/portraits/portholes/no_culture/hkrul_ulfric.png	hkrul_ulfric	hkrul_ulfric	true		false
wh_dlc08_nor_norsca	false	hkrul_verdandi	true	true	ui/portraits/portholes/no_culture/hkrul_verdandi.png	hkrul_verdandi	hkrul_verdandi	false		false
