key	option	group	string
#diplomacy_negotiation_string_options_tables;0;db/diplomacy_negotiation_string_options_tables/surthaek_diplomacy_negotiation_string_options_data			
receive	0	diplomacy_Faction_SurthaEk	Chaos_MrdrChief_Dip_Greet_Neu_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2	Chaos_MrdrChief_Dip_Greet_Neu_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_Negative	Chaos_MrdrChief_Dip_Greet_Neg_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionBeastmen	Chaos_MrdrChief_Dip_Greet_Neu_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionBeastmen_&_Negative	Chaos_MrdrChief_Dip_Greet_Neg_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionBeastmen_&_Positive	Chaos_MrdrChief_Dip_Greet_Pos_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionBretonnia	Chaos_MrdrChief_Dip_Greet_Neu_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionBretonnia_&_Negative	Chaos_MrdrChief_Dip_Greet_Neg_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionBretonnia_&_Positive	Chaos_MrdrChief_Dip_Greet_Pos_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionChaos	Chaos_MrdrChief_Dip_Greet_Neu_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionChaos_&_Negative	Chaos_MrdrChief_Dip_Greet_Neg_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionChaos_&_Positive	Chaos_MrdrChief_Dip_Greet_Pos_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionDwarf	Chaos_MrdrChief_Dip_Greet_Neu_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionDwarf_&_Negative	Chaos_MrdrChief_Dip_Greet_Neg_01
receive	0	diplomacy_Faction_SurthaEk_&_FactionGroup_2_&_OtherFactionDwarf_&_Positive	Chaos_MrdrChief_Dip_Greet_Pos_01
